PMID,Genes,Mutations,Diseases,Chemicals,Species,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
30485446,No Data,No Data,dryness>MESH:D014987 ; HAALs>No Data,arsenic>MESH:D001151;salts>MESH:D012492;water>MESH:D014867,Acinetobacter sp. Ver3>466088;Exiguobacterium sp. S17>856854;Nesterenkonia sp. Act20>1483432,Photolyases and Cryptochromes in UV-resistant Bacteria from High-altitude Andean Lakes,"Portero LR, Alonso-Reyes DG, Zannier F, Vazquez MP, Farías ME, Gärtner W, Albarracín VH.",Photochem Photobiol. 2019 Jan;95(1):315-330. doi: 10.1111/php.13061. Epub 2019 Jan 21.,Portero LR,Photochem Photobiol,2019,2018/11/29,,,10.1111/php.13061
31938738,No Data,No Data,haloalkaliphilic>No Data,alkaline media>-;agar>MESH:D000362;Sabouraud dextrose agar>-,Potato>4113;Aspergillus>746128;Penicillium>5076;Cladosporium>1052096;Penicillium chrysogenum>5076;Bacillus subtilis>1423;Escherichia coli>562;Pseudomonas aeruginosa>287;Candida albicans>5476;Schizophyllum commune>5334;Epicoccum sorghinum>749593;Aspergillus fumigatus>746128;CBS 119416>1052096;Didymella glomerata>749621,Isolation of haloalkaliphilic fungi from Lake Magadi in Kenya,"Orwa P, Mugambi G, Wekesa V, Mwirichia R.",Heliyon. 2020 Jan 9;6(1):e02823. doi: 10.1016/j.heliyon.2019.e02823. eCollection 2020 Jan.,Orwa P,Heliyon,2020,2020/01/16,PMC6953635,,10.1016/j.heliyon.2019.e02823
9680321,No Data,No Data,No Data,Glu-Gly-Asn-Thr-Arg-Glu-Asp-Asn-Phe-Lys-His-Leu-Leu-Gly-Asn-Asp-Asn-Val- Lys-Arg>-;carboxymethylcellulose>MESH:D002266;lichenan>MESH:C015968;beta-1-3;1-4-linkage>-;p-nitrophenyl>-;cellotetraose>MESH:C048468;H3PO4>-;NaOH>-,Bacillus sp. KSM-S237>109789;Bacillus>109789;KSM-S237>109789,"Thermostable alkaline cellulase from an alkaliphilic isolate, Bacillus sp. KSM-S237","Hakamada Y, Koike K, Yoshimatsu T, Mori H, Kobayashi T, Ito S.",Extremophiles. 1997 Aug;1(3):151-6. doi: 10.1007/s007920050028.,Hakamada Y,Extremophiles,1997,1997/08/01,,,10.1007/s007920050028
16770690,Ikka>1147,No Data,permanently cold>MESH:D003638 ; cold-active alkaliphiles>MESH:D000067390 ; alkaliphilic or psychrophilic bacteria>MESH:C537702,No Data,No Data,Bacterial diversity in permanently cold and alkaline ikaite columns from Greenland,"Schmidt M, Priemé A, Stougaard P.",Extremophiles. 2006 Dec;10(6):551-62. doi: 10.1007/s00792-006-0529-9. Epub 2006 Jun 13.,Schmidt M,Extremophiles,2006,2006/06/14,,,10.1007/s00792-006-0529-9
35652980,No Data,No Data,No Data,Hypersaline>-;hypersaline>-;saline>MESH:D012965;NaCl>MESH:D012965,Halocnemum strobilaceum>239185;H. strobilaceum>239185,Bacterial diversity and community structure in the rhizosphere of the halophyte Halocnemum strobilaceum in an Algerian arid saline soil,"Behairi S, Baha N, Barakat M, Ortet P, Achouak W, Heulin T, Kaci Y.",Extremophiles. 2022 Jun 2;26(2):18. doi: 10.1007/s00792-022-01268-x.,Behairi S,Extremophiles,2022,2022/06/02,,,10.1007/s00792-022-01268-x
23252379,,,,,,Colors of extreme exo-Earth environments,"Hegde S, Kaltenegger L.",Astrobiology. 2013 Jan;13(1):47-56. doi: 10.1089/ast.2012.0849. Epub 2012 Dec 19.,Hegde S,Astrobiology,2013,2012/12/21,,,10.1089/ast.2012.0849
36572161,No Data,No Data,insufficiency>MESH:D000309,polyhydroxyalkanoate>MESH:D054813;PHA>MESH:C568742;catechol>MESH:C034221,Halomonas sp>1486246,Highly efficient polyhydroxyalkanoate production from lignin using genetically engineered Halomonas sp. Y3,"Li YQ, Wang MJ, Luo CB.",Bioresour Technol. 2023 Feb;370:128526. doi: 10.1016/j.biortech.2022.128526. Epub 2022 Dec 23.,Li YQ,Bioresour Technol,2023,2022/12/26,,,10.1016/j.biortech.2022.128526
20209526,No Data,No Data,No Data,Naphthospironone a>-,No Data,Naphthospironone a: an unprecedented and highly functionalized polycyclic metabolite from an alkaline mine waste extremophile,"Ding ZG, Li MG, Zhao JY, Ren J, Huang R, Xie MJ, Cui XL, Zhu HJ, Wen ML.",Chemistry. 2010 Apr 6;16(13):3902-5. doi: 10.1002/chem.200903198.,Ding ZG,Chemistry,2010,2010/03/09,,,10.1002/chem.200903198
14991423,No Data,No Data,No Data,carbon>MESH:D002244;Glucose>MESH:D005947;acetate>MESH:D000085;lactate>MESH:D019344;leucine>MESH:D007930,No Data,"Distribution, diversity and activity of microorganisms in the hyper-alkaline spring waters of Maqarin in Jordan","Pedersen K, Nilsson E, Arlinger J, Hallbeck L, O'Neill A.",Extremophiles. 2004 Apr;8(2):151-64. doi: 10.1007/s00792-004-0374-7. Epub 2004 Feb 27.,Pedersen K,Extremophiles,2004,2004/03/03,,,10.1007/s00792-004-0374-7
38225962,No Data,No Data,No Data,NaCl>MESH:D012965;phosphorous>MESH:D010757,biota>131567;Penicillium chrysogenum>5076;Aspergillus sp>5065,The potential of Hungarian bauxite residue isolates for biotechnological applications,"Feigl V, Medgyes-Horváth A, Kari A, Török Á, Bombolya N, Berkl Z, Farkas É, Fekete-Kertész I.",Biotechnol Rep (Amst). 2023 Dec 20;41:e00825. doi: 10.1016/j.btre.2023.e00825. eCollection 2024 Mar.,Feigl V,Biotechnol Rep (Amst),2023,2024/01/16,PMC10788403,,10.1016/j.btre.2023.e00825
26263620,No Data,No Data,Haloalkaliphilic Cyanobacteria>No Data ; haloalkaliphilic cyanobacteria>No Data ; Extremophilic haloalkaliphilic cyanobacteria>No Data,CO2>MESH:D002245;carbon>MESH:D002244,No Data,[CO2-Concentrating Mechanism and Its Traits in Haloalkaliphilic Cyanobacteria],"Kupriyanova EV, Samylina OS.",Mikrobiologiia. 2015 Mar-Apr;84(2):144-59.,Kupriyanova EV,Mikrobiologiia,2015,2015/08/13,,,
34322108,No Data,No Data,No Data,Polyhydroxyalkanoates>MESH:D054813;PHAs>MESH:D054813;CO2>MESH:D002245;carbon>MESH:D002244,No Data,Developing Bioprospecting Strategies for Bioplastics Through the Large-Scale Mining of Microbial Genomes,"Vuong P, Lim DJ, Murphy DV, Wise MJ, Whiteley AS, Kaur P.",Front Microbiol. 2021 Jul 12;12:697309. doi: 10.3389/fmicb.2021.697309. eCollection 2021.,Vuong P,Front Microbiol,2021,2021/07/29,PMC8312272,,10.3389/fmicb.2021.697309
28255636,No Data,No Data,No Data,azo dye>MESH:D001391;methyl red>MESH:C008492;azo dyes>MESH:D001391;MR>MESH:C008492;salt>MESH:D012492;NaCl>MESH:D012965,Nesterenkonia lacusekhoensis>150832;N. lacusekhoensis>150832,"Degradation of azo dye methyl red by alkaliphilic, halotolerant Nesterenkonia lacusekhoensis EMLA3: application in alkaline and salt-rich dyeing effluent treatment","Bhattacharya A, Goyal N, Gupta A.",Extremophiles. 2017 May;21(3):479-490. doi: 10.1007/s00792-017-0918-2. Epub 2017 Mar 2.,Bhattacharya A,Extremophiles,2017,2017/03/04,,,10.1007/s00792-017-0918-2
30105570,No Data,No Data,alkaliphilic>No Data,indigo>MESH:D007203;Indigo>MESH:D007203;indigo carmine>MESH:D007203;azoA>-;AzoA>-;NADH>MESH:D009243,Bacillus sp. AO1>340959;Bacillus>340959;AO1>340959,Azoreductase from alkaliphilic Bacillus sp. AO1 catalyzes indigo reduction,"Suzuki H, Abe T, Doi K, Ohshima T.",Appl Microbiol Biotechnol. 2018 Nov;102(21):9171-9181. doi: 10.1007/s00253-018-9284-y. Epub 2018 Aug 13.,Suzuki H,Appl Microbiol Biotechnol,2018,2018/08/15,,,10.1007/s00253-018-9284-y
15856134,No Data,No Data,No Data,No Data,higher termites>46569;termites>1912919;enrichment cultures>1566732,Comparison of bacterial communities in the alkaline gut segment among various species of higher termites,"Thongaram T, Hongoh Y, Kosono S, Ohkuma M, Trakulnaleamsai S, Noparatnaraporn N, Kudo T.",Extremophiles. 2005 Jun;9(3):229-38. doi: 10.1007/s00792-005-0440-9. Epub 2005 Apr 26.,Thongaram T,Extremophiles,2005,2005/04/28,,,10.1007/s00792-005-0440-9
32155764,No Data,No Data,No Data,Lipid>MESH:D008055;ether>MESH:D004986;lipids>MESH:D008055;phospholipids>MESH:D010743;lipid bilayers>MESH:D008051;water>MESH:D014867,No Data,Structural Characterization of an Archaeal Lipid Bilayer as a Function of Hydration and Temperature,"Salvador-Castell M, Demé B, Oger P, Peters J.",Int J Mol Sci. 2020 Mar 6;21(5):1816. doi: 10.3390/ijms21051816.,Salvador-Castell M,Int J Mol Sci,2020,2020/03/12,PMC7084678,,10.3390/ijms21051816
37819713,No Data,No Data,extremophile cyanobacterium Chroococcidiopsis>No Data ; Microcystis aureginosa>No Data,Carbonate>MESH:D002254;carbonate>MESH:D002254,No Data,Remote Laser-Induced Breakdown Spectroscopy of Bacterial Growths in Carbonate Rocks in a Mars-like Atmosphere,"García-Gómez L, Delgado T, Fortes FJ, Del Rosal Y, Liñán C, Fernández LE, Cabalín LM, Laserna J.",Astrobiology. 2023 Nov;23(11):1179-1188. doi: 10.1089/ast.2022.0153. Epub 2023 Oct 11.,García-Gómez L,Astrobiology,2023,2023/10/11,,,10.1089/ast.2022.0153
37987855,No Data,No Data,blooms>MESH:D001816,Phosphonate>MESH:D063065;methane>MESH:D008697;orthophosphate>MESH:D010710;nitrogen>MESH:D009584;iron>MESH:D007501,No Data,Phosphonate consumers potentially contributing to methane production in Brazilian soda lakes,"Carvalho CR, Souza BCE, Bieluczyk W, Feitosa YB, Delbaje E, Camargo PB, Tsai SM, Fiore MF.",Extremophiles. 2023 Nov 21;28(1):4. doi: 10.1007/s00792-023-01318-y.,Carvalho CR,Extremophiles,2023,2023/11/21,,,10.1007/s00792-023-01318-y
26171779,No Data,No Data,Alkaliphilic Halotolerant>No Data ; alkaliphilic halotolerant>No Data,Alkaline>-;Saline>MESH:D012965;saline>MESH:D012965;salt>MESH:D012492;NaCl>MESH:D012965;alkaline>-,Anditalea andensis>1048983;Escherichia coli>562;Pseudomonas aeruginosa>287,Anditalea andensis ANESC-ST--An Alkaliphilic Halotolerant Bacterium Capable of Electricity Generation under Alkaline-Saline Conditions,"Shi W, Wang VB, Zhao CE, Zhang Q, Loo SC, Yang L, Xu C.",PLoS One. 2015 Jul 14;10(7):e0132766. doi: 10.1371/journal.pone.0132766. eCollection 2015.,Shi W,PLoS One,2015,2015/07/15,PMC4501810,,10.1371/journal.pone.0132766
35021589,No Data,No Data,extremophilic algal strain Galdieria sulphuraria>MESH:D013180,water>MESH:D014867;FO-RO>-,algae>569578,Impacts of seasonality and operating conditions on algal-dual osmosis membrane system for potable water reuse: Part 2,"Bandara GLCL, Abeysiriwardana-Arachchige ISA, Xu X, Lin L, Jiang W, Zhang Y, Johnson DC, Nirmalakhandan N, Xu P.",J Environ Manage. 2022 Feb 15;304:114295. doi: 10.1016/j.jenvman.2021.114295. Epub 2021 Dec 27.,Bandara GLCL,J Environ Manage,2022,2022/01/13,,,10.1016/j.jenvman.2021.114295
35384246,No Data,No Data,blooms>MESH:D001816 ; algal blooms>MESH:D001816,sulfate>MESH:D013431;hypersaline>-;water>MESH:D014867;lipid>MESH:D008055;Holocene>-,a  delta>488839,Intensified microbial sulfate reduction in the deep Dead Sea during the early Holocene Mediterranean sapropel 1 deposition,"Levy EJ, Thomas C, Antler G, Gavrieli I, Turchyn AV, Grossi V, Ariztegui D, Sivan O.",Geobiology. 2022 Jul;20(4):518-532. doi: 10.1111/gbi.12493. Epub 2022 Apr 5.,Levy EJ,Geobiology,2022,2022/04/06,PMC9325388,,10.1111/gbi.12493
33799130,No Data,No Data,haloalkaliphilic bacteria>MESH:C537702,selenite>MESH:D020887;selenium>MESH:D012643;Se>MESH:D012643;water>MESH:D014867;saline>MESH:D012965,No Data,Biological selenite removal and recovery of selenium nanoparticles by haloalkaliphilic bacteria isolated from the Nakdong River,"Won S, Ha MG, Nguyen DD, Kang HY.",Environ Pollut. 2021 Jul 1;280:117001. doi: 10.1016/j.envpol.2021.117001. Epub 2021 Mar 22.,Won S,Environ Pollut,2021,2021/04/02,,,10.1016/j.envpol.2021.117001
19411423,No Data,No Data,acidophilic Acidiphilium>MESH:D000239 ; alkaliphilic Bacillus>MESH:D000881,agar>MESH:D000362,No Data,Versatile solidified nanofibrous cellulose-containing media for growth of extremophiles,"Tsudome M, Deguchi S, Tsujii K, Ito S, Horikoshi K.",Appl Environ Microbiol. 2009 Jul;75(13):4616-9. doi: 10.1128/AEM.00519-09. Epub 2009 May 1.,Tsudome M,Appl Environ Microbiol,2009,2009/05/05,PMC2704845,,10.1128/AEM.00519-09
34228196,No Data,No Data,Antarctic Peninsula Region>MESH:D003424 ; Antarctic Peninsula>No Data,No Data,Penicillium sp>5081;Cladosporium sp>1707700;Penicillium atrovenetum>69764;Epicoccum nigrum>105696;Phaeosphaeriaceae sp>1756107;Xylaria grammica>363999,Fungi in the Antarctic Cryosphere: Using DNA Metabarcoding to Reveal Fungal Diversity in Glacial Ice from the Antarctic Peninsula Region,"de Menezes GCA, Câmara PEAS, Pinto OHB, Convey P, Carvalho-Silva M, Simões JC, Rosa CA, Rosa LH.",Microb Ecol. 2022 Apr;83(3):647-657. doi: 10.1007/s00248-021-01792-x. Epub 2021 Jul 6.,de Menezes GCA,Microb Ecol,2022,2021/07/06,,,10.1007/s00248-021-01792-x
30266724,No Data,No Data,No Data,No Data,Yeasts>4932;yeasts>4932;Bacillus subtilis>1423;Cryptococcus) friedmannii>89922;Exophiala sp. strai>1550092;15LV1>1550092;B. subtilis>1423;Holtermanniella watticus>207911;Holtermanniella wattica>207911;Exophiala sp. 15LV1>1550092;yeast>4932,Survival of Extremophilic Yeasts in the Stratospheric Environment during Balloon Flights and in Laboratory Simulations,"Pulschen AA, de Araujo GG, de Carvalho ACSR, Cerini MF, Fonseca LM, Galante D, Rodrigues F.",Appl Environ Microbiol. 2018 Nov 15;84(23):e01942-18. doi: 10.1128/AEM.01942-18. Print 2018 Dec 1.,Pulschen AA,Appl Environ Microbiol,2018,2018/09/30,PMC6238051,,10.1128/AEM.01942-18
16215773,No Data,No Data,No Data,fatty acid>MESH:D005227;fatty acids>MESH:D005227;iso 2OH>-,Tepidimonas taiwanensis>307486;beta-Proteobacteria>28216;Tepidimonas>307486;BCRC 17406>307486;LMG 22826>307486,"Tepidimonas taiwanensis sp. nov., a novel alkaline-protease-producing bacterium isolated from a hot spring","Chen TL, Chou YJ, Chen WM, Arun B, Young CC.",Extremophiles. 2006 Feb;10(1):35-40. doi: 10.1007/s00792-005-0469-9. Epub 2005 Oct 8.,Chen TL,Extremophiles,2006,2005/10/11,,,10.1007/s00792-005-0469-9
36569062,No Data,No Data,No Data,No Data,enrichment cultures>1566732,Prokaryotic and eukaryotic microbial diversity from three soda lakes in the East African Rift Valley determined by amplicon sequencing,"Jeilu O, Gessesse A, Simachew A, Johansson E, Alexandersson E.",Front Microbiol. 2022 Dec 8;13:999876. doi: 10.3389/fmicb.2022.999876. eCollection 2022.,Jeilu O,Front Microbiol,2022,2022/12/26,PMC9772273,,10.3389/fmicb.2022.999876
33255932,No Data,No Data,Antarctic bacteria>MESH:C537702 ; extremophile bacteria>MESH:C537702,lipopolysaccharide>MESH:D008070;glycolipid>MESH:D006017;lipid A>MESH:D008050,MS2>2710868,The Structure of the Lipid A of Gram-Negative Cold-Adapted Bacteria Isolated from Antarctic Environments,"Di Lorenzo F, Crisafi F, La Cono V, Yakimov MM, Molinaro A, Silipo A.",Mar Drugs. 2020 Nov 26;18(12):592. doi: 10.3390/md18120592.,Di Lorenzo F,Mar Drugs,2020,2020/12/01,PMC7759928,,10.3390/md18120592
20703955,No Data,No Data,alkaliphilic>No Data ; alkali-tolerant filamentous fungi>MESH:D006934 ; alkaliphilic glycosyl hydrolase>MESH:C531854,ATP>MESH:D000255;MTCC 6489>-;guanidium hydrochloride>-;GdmCl>-;tryptophan>MESH:D014364;8-anilino-1- naphthalene sulfonate>MESH:C515594,Penicillium citrinum>5077,In vitro renaturation of alkaline family G/11 xylanase via a folding intermediate: alpha-crystallin facilitates refolding in an ATP-independent manner,"Dutta T, Bhattacharjee A, Majumdar U, Ray SS, Sahoo R, Ghosh S.",Appl Biochem Biotechnol. 2010 Nov;162(5):1238-48. doi: 10.1007/s12010-009-8854-y. Epub 2009 Nov 22.,Dutta T,Appl Biochem Biotechnol,2010,2010/08/13,,,10.1007/s12010-009-8854-y
22350256,No Data,No Data,hyper-alkaline>MESH:D053306,saline>MESH:D012965;chromium>MESH:D002857;iron>MESH:D007501;lixiviate>-;metal>MESH:D008670,No Data,Bacterial biodiversity from anthropogenic extreme environments: a hyper-alkaline and hyper-saline industrial residue contaminated by chromium and iron,"Brito EM, Piñón-Castillo HA, Guyoneaud R, Caretta CA, Gutiérrez-Corona JF, Duran R, Reyna-López GE, Nevárez-Moorillón GV, Fahy A, Goñi-Urriza M.",Appl Microbiol Biotechnol. 2013 Jan;97(1):369-78. doi: 10.1007/s00253-012-3923-5. Epub 2012 Feb 17.,Brito EM,Appl Microbiol Biotechnol,2013,2012/02/22,,,10.1007/s00253-012-3923-5
11589226,No Data,No Data,hyperthermophilic archaea>No Data,salt>MESH:D012492;oxygen>MESH:D010100,No Data,"[Microbial diversity of deep-sea extremophiles--Piezophiles, Hyperthermophiles, and subsurface microorganisms]","Kato C, Takai K.",Biol Sci Space. 2000 Dec;14(4):341-52. doi: 10.2187/bss.14.341.,Kato C,Biol Sci Space,2000,2001/10/09,,,10.2187/bss.14.341
34777269,No Data,No Data,No Data,Hypersaline>-;metal>MESH:D008670;hypersaline>-;saline>MESH:D012965,metagenomes>408169,Culture-Independent Exploration of the Hypersaline Ecosystem Indicates the Environment-Specific Microbiome Evolution,"Mehta P, Yadav M, Ahmed V, Goyal K, Pandey R, Chauhan NS.",Front Microbiol. 2021 Oct 28;12:686549. doi: 10.3389/fmicb.2021.686549. eCollection 2021.,Mehta P,Front Microbiol,2021,2021/11/15,PMC8581802,,10.3389/fmicb.2021.686549
26159877,No Data,No Data,halotolerant alkaliphilic>No Data,salt>MESH:D012492;serine>MESH:D012694;ammonium sulfate>MESH:D000645;CaCl2>MESH:D002122;PMSF>-;NaCl>MESH:D012965;diethyl ether>MESH:D004986;benzene>MESH:D001554;toluene>MESH:D014050;chloroform>MESH:D002725;hydrogen peroxide>MESH:D006861,Bacillus sp. NPST-AK15>1623497;Bacillus sp. strain NP>1623497;NPST-AK15>1623497,"Detergent-, solvent- and salt-compatible thermoactive alkaline serine protease from halotolerant alkaliphilic Bacillus sp. NPST-AK15: purification and characterization","Ibrahim AS, Al-Salamah AA, El-Badawi YB, El-Tayeb MA, Antranikian G.",Extremophiles. 2015 Sep;19(5):961-71. doi: 10.1007/s00792-015-0771-0. Epub 2015 Jul 10.,Ibrahim AS,Extremophiles,2015,2015/07/11,,,10.1007/s00792-015-0771-0
30231921,No Data,No Data,haloalkaliphilic>No Data,hypersaline>-;Hypersaline soda>-;carbonate>MESH:D002254;salt>MESH:D012492;carbon>MESH:D002244;sulfur>MESH:D013455;nitrogen>MESH:D009584;haloalkaline>-,uncultured>198431;uncultured prokaryote>198431;metagenomes>408169;metagenome>256318,A metagenomics roadmap to the uncultured genome diversity in hypersaline soda lake sediments,"Vavourakis CD, Andrei AS, Mehrshad M, Ghai R, Sorokin DY, Muyzer G.",Microbiome. 2018 Sep 19;6(1):168. doi: 10.1186/s40168-018-0548-7.,Vavourakis CD,Microbiome,2018,2018/09/21,PMC6146748,,10.1186/s40168-018-0548-7
24281914,No Data,No Data,stress>MESH:D000079225,chlorophyll>MESH:D002734,green algae>3041,"Unique picoeukaryotic algal community under multiple environmental stress conditions in a shallow, alkaline pan","Pálffy K, Felföldi T, Mentes A, Horváth H, Márialigeti K, Boros E, Vörös L, Somogyi B.",Extremophiles. 2014 Jan;18(1):111-9. doi: 10.1007/s00792-013-0602-0. Epub 2013 Nov 27.,Pálffy K,Extremophiles,2014,2013/11/28,,,10.1007/s00792-013-0602-0
38133826,No Data,No Data,No Data,Carboniferous Basin>MESH:C074619,algae>569578;Ochrophyta>2696291,Metataxonomy of acid mine drainage microbiomes from the Santa Catarina Carboniferous Basin (Southern Brazil),"Odisi EJ, de Freitas RC, do Amaral DS, da Silva SB, da Silva MAC, de Oliveira Sant Ana W, de Souza Lima AO, Rörig LR.",Extremophiles. 2023 Dec 22;28(1):8. doi: 10.1007/s00792-023-01324-0.,Odisi EJ,Extremophiles,2023,2023/12/22,,,10.1007/s00792-023-01324-0
38035483,No Data,No Data,hemiparasitic>No Data ; infected branch>MESH:D007239 ; infection>MESH:D007239,xanthurenic acid>MESH:C028330;propylparaben>MESH:C006068;potassium>MESH:D011188;N-1-naphthylacetamide>MESH:C025234;N-Boc-hydroxylamine>MESH:D019811;N-acetylserotonin>MESH:C006389;arecoline>MESH:D001115;acetophenone>MESH:C038699;6-methoxymellein>MESH:C080190,Acacia gerrardii>875634;Viscum schimperi>1874183;A. gerrardii>875634,"Photosynthesis, ionomics and metabolomics of the host-hemiparasite association Acacia gerrardii-Viscum schimperi",Barhoumi Z.,Funct Plant Biol. 2024 Jan;51(1):NULL. doi: 10.1071/FP23206.,Barhoumi Z,Funct Plant Biol,2024,2023/11/30,,,10.1071/FP23206
33620581,No Data,No Data,alkaliphilic haloarchaea>No Data,hypersaline>-;sulfoxides>MESH:D013454;DMSO>MESH:D004121;Dimethylsulfoxide>MESH:D004121;sulfur>MESH:D013455;haloarchaea>-;methionine sulfoxide>MESH:C013111;MSO>MESH:C013111;tetramethylene sulfoxide>MESH:C038166;TMSO>MESH:C038166;hypersaline salt>-;formate>MESH:C030544;acetate>MESH:D000085;O2>MESH:D010100;sulfoxide>MESH:C005746,enrichment cultures>1566732;yeast>4932;Halanaeroarchaeum sulfurireducens>1604004,Halo(natrono)archaea from hypersaline lakes can utilize sulfoxides other than DMSO as electron acceptors for anaerobic respiration,"Sorokin DY, Roman P, Kolganova TV.",Extremophiles. 2021 Mar;25(2):173-180. doi: 10.1007/s00792-021-01219-y. Epub 2021 Feb 23.,Sorokin DY,Extremophiles,2021,2021/02/23,,,10.1007/s00792-021-01219-y
22297696,No Data,No Data,cold>MESH:D000067390 ; Paraliobacillus quinghaiensis YIM-C158(T>MESH:D001260 ; Paraliobacillus ryukyuensis O15-7(T>MESH:D020754,NaCl>MESH:D012965;fatty acids>MESH:D005227;C>MESH:D002244;anteiso-C>-;omega11c>-;lipids>MESH:D008055;diphosphatidylglycerol>MESH:D002308;phosphatidylglycerol>MESH:D010715;meso-diaminopimelic acid>MESH:D003960,Alkalilactibacillus ikkensis>486507;Natronobacillus azotifigens>472978;Halolactibacillus miurensis>306541;H. miurensis>306541;N. azotifigens>472978;Amphibacillus tropicus>173040;Bacillus rRNA group 1>1386;Alkalilactibacillus>486507,"Alkalilactibacillus ikkensis, gen. nov., sp. nov., a novel enzyme-producing bacterium from a cold and alkaline environment in Greenland","Schmidt M, Priemé A, Johansen A, Stougaard P.",Extremophiles. 2012 Feb 2. doi: 10.1007/s00792-012-0430-7. Online ahead of print.,Schmidt M,Extremophiles,2012,2012/02/03,,,10.1007/s00792-012-0430-7
33404954,No Data,No Data,haloalkaliphilic actinomycete>MESH:D000193 ; fitness>MESH:D012640,starch>MESH:D013213;NaCl>MESH:D012965;salt>MESH:D012492,actinomycete>100235;Streptomyces lopnurensis>1495572;yeast>4932,"Kinetics of growth and co-production of amylase and protease in novel marine actinomycete, Streptomyces lopnurensis KaM5","Rathore DS, Singh SP.",Folia Microbiol (Praha). 2021 Jun;66(3):303-316. doi: 10.1007/s12223-020-00843-z. Epub 2021 Jan 6.,Rathore DS,Folia Microbiol (Praha),2021,2021/01/06,,,10.1007/s12223-020-00843-z
27290724,No Data,No Data,No Data,sulfur>MESH:D013455;Alkaline sulfur>-;nitrogen>MESH:D009584;methane>MESH:D008697;sulfate>MESH:D013431,No Data,Analysis of the metatranscriptome of microbial communities of an alkaline hot sulfur spring revealed different gene encoding pathway enzymes associated with energy metabolism,"Tripathy S, Padhi SK, Mohanty S, Samanta M, Maiti NK.",Extremophiles. 2016 Jul;20(4):525-36. doi: 10.1007/s00792-016-0846-6. Epub 2016 Jun 11.,Tripathy S,Extremophiles,2016,2016/06/13,,,10.1007/s00792-016-0846-6
17429572,No Data,No Data,Alkaliphilic>No Data,No Data,Bacillus clausii>79880;Bacillus sp. strain >66692;KSM-K16>66692;B. clausii>79880,Intragenomic diversity of the V1 regions of 16S rRNA genes in high-alkaline protease-producing Bacillus clausii spp,"Kageyama Y, Takaki Y, Shimamura S, Nishi S, Nogi Y, Uchimura K, Kobayashi T, Hitomi J, Ozaki K, Kawai S, Ito S, Horikoshi K.",Extremophiles. 2007 Jul;11(4):597-603. doi: 10.1007/s00792-007-0074-1. Epub 2007 Apr 12.,Kageyama Y,Extremophiles,2007,2007/04/13,,,10.1007/s00792-007-0074-1
23881259,No Data,No Data,Buriatia>No Data ; alkaliphilic>No Data,sulfate>MESH:D013431;lactate>MESH:D019344;formate>MESH:C030544;ethanol>MESH:D000431;acetate>MESH:D000085;CO2>MESH:D002245;Su2>-;Fe(III)>-,Desulfonatronum buryatense>489971;Ki4>489971;Ki5>489971;Desulfonatronum>489971;D. lacustre Z-7951>935942,New sulfate-reducing bacteria isolated from Buryatian alkaline brackish lakes: description of Desulfonatronum buryatense sp. nov,"Ryzhmanova Y, Nepomnyashchaya Y, Abashina T, Ariskina E, Troshina O, Vainshtein M, Shcherbakova V.",Extremophiles. 2013 Sep;17(5):851-9. doi: 10.1007/s00792-013-0567-z. Epub 2013 Jul 24.,Ryzhmanova Y,Extremophiles,2013,2013/07/25,,,10.1007/s00792-013-0567-z
24638260,No Data,No Data,No Data,methane>MESH:D008697;Methane>MESH:D008697;CH4>-;Tex>-,Methylomicrobium alcaliphilum>271065,Changes in methane oxidation activity and methanotrophic community composition in saline alkaline soils,"Serrano-Silva N, Valenzuela-Encinas C, Marsch R, Dendooven L, Alcántara-Hernández RJ.",Extremophiles. 2014 May;18(3):561-71. doi: 10.1007/s00792-014-0641-1. Epub 2014 Mar 18.,Serrano-Silva N,Extremophiles,2014,2014/03/19,,,10.1007/s00792-014-0641-1
34093984,TAK>1025,No Data,alkaliphilic>No Data,carbohydrate>MESH:D002241;hydrogen>MESH:D006859,No Data,"Phylogenetic, functional and structural characterization of a GH10 xylanase active at extreme conditions of temperature and alkalinity","Talens-Perales D, Jiménez-Ortega E, Sánchez-Torres P, Sanz-Aparicio J, Polaina J.",Comput Struct Biotechnol J. 2021 May 3;19:2676-2686. doi: 10.1016/j.csbj.2021.05.004. eCollection 2021.,Talens-Perales D,Comput Struct Biotechnol J,2021,2021/06/07,PMC8148631,,10.1016/j.csbj.2021.05.004
19930649,No Data,No Data,No Data,salt>MESH:D012492;NaCl>MESH:D012965,No Data,"Biodiversity of poly-extremophilic Bacteria: does combining the extremes of high salt, alkaline pH and elevated temperature approach a physico-chemical boundary for life?","Bowers KJ, Mesbah NM, Wiegel J.",Saline Syst. 2009 Nov 23;5:9. doi: 10.1186/1746-1448-5-9.,Bowers KJ,Saline Syst,2009,2009/11/26,PMC2785825,,10.1186/1746-1448-5-9
