"Diseases","DiseasesID","PMID","PMCID","Sentences"
"abiotic stress","D000079225",34256694,8278772," Seawater and drought tolerance in this species may be facilitated by aquaporins (AQPs), channel proteins that transport water and small molecules across cell membranes and thereby maintain cellular water homeostasis in the face of abiotic stress.;  We also investigated the expression profiles of CrAQP genes in various tissues, in response to different abiotic stressors, and in different habitats, along with promoter analyses.;  In addition, because PIPs play an important roles in maintaining water balance in plant cells, we summarized the abiotic stress-related cis-acting elements (including ABRE, ERE, MYB, MBS, TC-rich repeats, and MYC) within 11 CrPIP promoter regions (Fig. 4b).; We performed a gene expression analysis on different C. rosea tissues to examine the expression patterns of CrPIP genes under various abiotic stress conditions and an ABA hormone treatment.;  These results indicate the role these genes play in multiple abiotic stress responses and ABA signaling response in C. rosea.; Water deficit—caused by drought, high salinity/alkaline, high temperature, cold/freezing conditions or other abiotic stressors—can negatively affect plant growth and survival.;  This is largely because AQP genes are seen as candidates for use in genetic modification of crops to increase agricultural productivity [39, 40]. The saltbush Atriplex canescens is highly tolerant of saline-alkaline soils, drought, heavy metals, and cold, and the AQP genes AcPIP2 and AcNIP5;1 have been shown to be involved in abiotic stress tolerance in this species, and their overexpression in transgenic Arabidopsis caused altered tolerance to drought and salt [41, 42]. Compared with cultivated soybean, the wild Glycine soja is relatively salt-alkaline tolerant.; Plant AQPs play versatile physiological roles in combatting abiotic stress, not only by regulating water content and potential, but also by transporting certain signaling molecules and nutrients.; Canavalia rosea is a salt- and alkaline-tolerant and drought-adapted halophyte, and abiotic stressors, such as saline-alkaline soil, seasonal drought, strong solar irradiance, and high temperatures, are the main limiting factors that induce osmotic stress and disturb water balance for this species and other tropical seaside plants.;  For regulating the water transport under different abiotic stresses efficiently, plant often changes the expression of aquaporin genes through a series of complex steps to control the water uptake or management.;  However, the water management effectiveness and patterns could always depending on the plant growth conditions or tissue type, as well as the different types or degrees of water stress and the specificity of AQP members [54]. In plant, the PIP isoforms were supposed to playing major roles in maintaining plant water homeostasis and responses to abiotic stress [11, 55]. Gene transcript levels are dependent upon the structures of their promoters.;  We summarized the abiotic stress-related cis-acting elements in CrAQP promoters (Fig. 4) and our findings suggest diversity in CrAQP expression patterns, which could be also considered as a part of the adaptation mechanisms to stress conditions.; In our previous research, we have characterized CrPIP2;3 as a salt/drought stress related gene [36]. Here we performed protein–protein interaction studies using yeast two-hybrid assays and found that two CrPIP members, encoded by CrPIP1;5 and CrPIP2;3, that were highly expressed in all tested tissues and almost constitutively expressed under the abiotic stress challenges and ABA treatment (Figs. 5a and ​and6).6).;  The overexpression of CrPIP1;5 in transgenic Arabidopsis is in contrast to most previous findings [40, 54], suggesting that overexpression of plant PIPs results in specificities of abiotic stress tolerance or sensitivity, which also might be attributed to the protein interaction, post-translational modifications (PTM), protein trafficking of the foreign AQP.;  That, combined with our previous related research about CrPIP2;3 [36], suggested that overexpression of these two PIP genes in transgenic Arabidopsis promoted plant responses to abiotic stressors by maintaining water homeostasis, as well as decreasing the damage caused by water-deficit stress.;  Expression profiling of CrAQPs revealed higher expression of PIP-associated genes in almost every tissue of C. rosea plants, suggesting that this subfamily likely plays important roles in developmental processes and abiotic stress responses.;  The cis-acting elements were classified as either hormone-specific (gibberellin-responsive elements, MeJA-responsive elements, auxin-responsive elements, salicylic acid-responsive elements, EREs, and ABREs) or abiotic stress-responsive (light responsive elements, MYCs, MYBs, MBSs, TC-rich repeats, and LTREs).;  Additionally, root length was calculated to evaluate the influence of the overexpression of CrPIP1;5 on transgenic Arabidopsis seedlings under abiotic stress (100 mM, 150 mM, and 200 mM NaCl for salt stress; 0.5 mmol/L NaHCO3 plus 99.5 mmol/L NaCl, 0.75 mmol/L NaHCO3 plus 99.25 mmol/L NaCl, 1 mmol/L NaHCO3 plus 99 mmol/L NaCl, pH 8.2 for alkaline stress; 200 mM, 300 mM, and 400 mM mannitol for osmotic stress."
"genus Alcolapia","D056304 ",36250323,9672858," In contrast, fish of the subgenus Alcolapia (Oreochromis) are the only vertebrates that survive the extreme conditions of the soda lakes of Natron and Magadi in East Africa and have evolved adaptations to the highly alkaline waters including the ability to excrete their nitrogenous waste as urea.; The cichlids of the subgenus Alcolapia, nested within the genus Oreochromis (Ford et al., 2019), are a unique radiation of extremophile fishes found in the East African soda lakes Magadi (A. grahami) and Natron (A. alcalica, A. ndalalani and A. latilabris) (Ford, 2015; Seegers et al., 1999)."
" Alcolapia retain","D018457 ",36250323,9672858," Nevertheless, Alcolapia retain the Rhesus glycoprotein genes in their genomes and using two heterologous expression systems, we demonstrate that Alcolapia Rhbg is capable of moving ammonia."
" Alcolapia alcalica excretes","D011507",36250323,9672858," Comparing ammonia and urea excretion from two closely related Alcolapia species from the same aquarium, we found that while Alcolapia grahami remains fully ureotelic after many generations in lab conditions, Alcolapia alcalica excretes some of its nitrogenous waste as ammonia."
"dehydration","D003681",31624306,6797769," Ramazzottius varieornatus) are able to undergo almost complete dehydration by entering an arrested state known as anhydrobiosis, which allows them to tolerate ionic radiation, extreme temperatures and intense pressure.;  Even though they require surrounding water to grow and reproduce, limno-terrestrial tardigrades are well known for their remarkable capacity to endure extreme circumstances (such as dehydration, radiation, high and low temperature, high pressure, heavy metals and even outer-space conditions) when entering the anhydrobiotic state1–6."
"toxicity","D064420",29932648,6588267," The mechanism
of protection is demonstrated to be linked not only to inhibiting
ice recrystallization (by comparison to a recombinant antifreeze protein)
but also to the significantly lower toxicity of the polymers compared
to glycerol.; A key challenge associated with
the use of glycerol is its intrinsic
toxicity at cryopreservation concentrations, so the impact of incubating
the polymers with E. coli compared to glycerol was
evaluated.;  Glycerol
at 15 or 25 wt % led to a significant reduction in recovered colonies.
Conversely, none of the polymers showed toxicity to the E.
coli.;  However, the colony counting results (Figure ​Figure22) confirmed the polymer approach
to be superior, supporting a hypothesis that the reduced toxicity
of the polymers means that more and healthier colonies can grow post-thaw,
and reduced growth inhibition compared to glycerol.;  Confocal microscopy
showed that similar numbers of bacteria with intact membranes are
recovered for both systems but that the polymer cryoprotectants lead
to more viable colonies, suggesting their lower toxicity is crucial.
This new cryopreservation approach is shown to be suitable for a range
of bacterial genera including Gram-negative/positive and mycobacteria.
It was found that the synergistic effect on cell survival was linked
to PVAs ice recrystallization activity and the PEG bulking agent,
as addition of type III antifreeze proteins (at similar total IRI
activity) also enabled cryopreservation, although these proteins are
significantly more expensive and not practical for routine cryopreservation
compared to the polymer formulations."
"blooms","D001816 ",35384246,9325388," In modern times, increased freshwater runoff to the lake surface waters resulted in stratification and dilution of the upper water column followed by microbial blooms.;  In the Dead Sea prolonged positive net water balance facilitated primary production and algal blooms in the upper waters and intensified microbial sulfate reduction in the hypolimnion and/or at the sediment–brine interface.;  Over the past few decades, spontaneous blooms of the unicellular primary producer green alga Dunaliella parva directly followed by a dense, red‐pigmented halophilic archaea bloom have appeared twice, in the summer of 1980 and the spring of 1992, following particularly rainy winters with increased freshwater runoff that led to stratification of the Dead Sea water column and the formation of less saline surface waters (Oren, 1993; Oren et al., 1995).;  Analogous to modern‐day spontaneous blooms of the primary producer Dunaliella parva and halophilic archaea following increased freshwater runoff, lipid biomarkers archived from the deep sediments suggest the onset of upper water column productivity following positive lake net water balance."
" algal blooms","D001816",35384246,9325388," In the Dead Sea prolonged positive net water balance facilitated primary production and algal blooms in the upper waters and intensified microbial sulfate reduction in the hypolimnion and/or at the sediment–brine interface."
"acidophilic Acidiphilium","D000239 ",19411423,2704845," The physicochemical stability of the porous structure allows the development of solidified media that can support the growth of extremophiles, such as acidophilic Acidiphilium, alkaliphilic Bacillus, thermophilic Geobacillus and Thermus, alkalithermophilic Bacillus, and acidothermophilic Sulfolobus microbes.; Various extremophiles, including acidophilic Acidiphilium acidophilum ATCC 27807T, alkaliphilic Bacillus clarkii DSM8720T, thermophilic Geobacillus stearothermophilus ATCC 12016 and Thermus thermophilus JCM10941T, acidothermophilic Sulfolobus acidocaldarius DSM639T, and alkalithermophilic Bacillus sp. strain TX-3 (JCM9162) (13), were cultured on the cellulose plates."
" alkaliphilic Bacillus","D000881",19411423,2704845," The physicochemical stability of the porous structure allows the development of solidified media that can support the growth of extremophiles, such as acidophilic Acidiphilium, alkaliphilic Bacillus, thermophilic Geobacillus and Thermus, alkalithermophilic Bacillus, and acidothermophilic Sulfolobus microbes.; Various extremophiles, including acidophilic Acidiphilium acidophilum ATCC 27807T, alkaliphilic Bacillus clarkii DSM8720T, thermophilic Geobacillus stearothermophilus ATCC 12016 and Thermus thermophilus JCM10941T, acidothermophilic Sulfolobus acidocaldarius DSM639T, and alkalithermophilic Bacillus sp. strain TX-3 (JCM9162) (13), were cultured on the cellulose plates."
"Antarctic bacteria","C537702 ",33255932,7759928,"Gram-negative Antarctic bacteria adopt survival strategies to live and proliferate in an extremely cold environment."
" extremophile bacteria","C537702",33255932,7759928," As lipid A is also involved in a structure-dependent elicitation of innate immune response in mammals, the structural characterization of lipid A from such extremophile bacteria is also of great interest from the perspective of drug synthesis and development inspired by natural sources.;  Finally, the structure of the lipid A from P. tetraodonis strain SY174 has been here described for the first time, and confirmed the high heterogeneity of the tetra- and penta-acylated lipid A species found in other Pseudoalteromonas species [10,11]. This study further supports and strengthens data describing the existence of lipid A modification systems that are often regulated by environmental conditions [27], and underlines the capability of extremophile bacteria to modify their outer membrane lipid components to deal with the detrimental stressors of the surrounding environment."
"extremophile actinomycetes","D000193",30863668,6393050,"A total of 5936 strains of extremophile actinomycetes were isolated; from these, 2019 strains were further isolated into pure cultures.; A total number of 5936 actinomycetes strains were isolated on the two variants of modified Bennett’s agar; from these, 2019 strains of extremophile actinomycetes grew in media #1 and #2 and differed in cultural-morphological characteristics.; The correlation of the changes in growth, morphogenesis, and antagonism of 415 strains of extremophile actinomycetes was determined under three conditions, modeling the most common natural habitats: neutral, saline, and alkaline."
"extremophile viviparous nematode","D009349 ",37427410,10325857,""
"stress","D000079225 ",35052375,8774410," Promoter analyses of cis-regulatory elements indicated that the expression of different CrNHXs was affected by a series of stress challenges.;  Furthermore, in the single-factor stress treatments mimicking the extreme environments of tropical coral reefs, the RNA-seq data also implied CrNHXs holding possible gene-specific regulatory roles in the environmental adaptation.;  The qRT-PCR based expression profiling exhibited that CrNHXs responded to different stresses to varying degrees, which further confirmed the specificity of CrNHXs’ in responding to abiotic stresses.; High salinity stress is one of the main abiotic stress factors affecting plant growth and development, thereby posing a great threat to the sustainable development of agriculture and food security.;  It has been estimated that nearly 10% of the total land surface (950 Mha) and about 50% of all irrigated land (230 Mha) are salt-affected, therefore drastically reducing agricultural productivity and altering the geographical distribution of crops [1,2]. Salinity primarily causes ionic stress and osmotic stress in plants.;  The resulting salinity-induced water stress, oxidative stress, nutritional imbalances, ion toxicity, and disruption of metabolic processes restrict the normal growth of plants [3,4]. During the process of evolution, plants have developed multiple mechanisms involving genes and strategies at the physiological, molecular, and metabolic levels to improve salt resistance in various ways.;  To cope with salt stress, plants have evolved three distinct responses, including osmotic stress tolerance, sodium ion (Na+) or chloride ion (Cl−) exclusion, and the accumulation of Na+ or Cl− in the tissues [5]. Therefore, it is suggested that some membrane proteins, including transporters or channels, play critical roles in maintaining ion homeostasis and osmotic adjustment, and regulating pH for plant survival under abiotic stress, such as high salinity/alkaline and drought.; Numerous reports have confirmed the involvement of NHX proteins in salinity stress responses [8]. Based on the released genome sequences of various plant species, genome-wide analyses of NHX families have recently gained remarkable traction in investigations of plant salt and alkaline tolerance mechanisms.;  Research on NHX genes in halophytes, xerophytes, or even extremophiles would improve the understanding of the adaptation of plants to environmental stress and provide a good foundation for formulating effective measures to modify the tolerance of crops to external stresses [17,18,19]. In recent years, the functional identification of NHX families from different plant species has broadly indicated that the NHX families are crucial for ion homeostasis, cellular pH regulation, plant development, vesicle trafficking, and salt-tolerance in plants.;  The seeds were germinated and cultivated in soil/vermiculite mixture for one month to perform various abiotic stresses for the transcriptional analyses of CrNHX members.;  For high salinity, alkaline, drought stress, and heat treatments, seedlings were soaked in 600 mM NaCl, 150 mM NaHCO3 (pH 8.2), 300 mM mannitol solutions, and 45 °C pre-warmed half-strength Hoagland’s solution, respectively.;  Second, the C. rosea seedling tissues under different abiotic stress challenges mentioned above (including 600 mM NaCl, 150 mM NaHCO3 (pH 8.2), 300 mM mannitol solutions, and 45 °C pre-warmed half-strength Hoagland’s solution) were also sequenced at the transcriptome level, with the same above RNA isolation, library construction, cDNA sequencing, and gene read alignment procedures.;  These four types of stress treatments were used for simulating the high salinity, alkaline, drought, and heat environmental conditions on tropical coral reefs.;  Then, the cells were serially diluted in 10-fold steps, and 2-μL aliquots of each were finally spotted onto APG medium (arginine phosphate medium, supplied with 2% galactose) plates [37] with or without different concentrations of NaCl, KCl, or hygromycin B stressors.;  We particularly focused on the hormone-responsive cis-regulatory elements (gibberellin-responsive element, MeJA (methyl jasmonate)-responsiveness element, auxin-responsive element, salicylic acid responsiveness, ethylene-responsive ERE, and ABA-responsive element ABRE) and abiotic stresses cis-regulatory elements (light-responsive element, MYC, and MYB), and other cellular functioning related cis-regulatory elements (ERE, MBS, and TC-rich repeats) were specially identified.;  The most frequent abiotic stress-related elements were MYB and ABRE (Figure 4B), which further indicated that the CrNHXs were responsible for various stresses, including drought, high salinity, or other temperature abnormalities.;  The cis-regulatory element analysis data suggested that CrNHX genes might respond to multiple hormones and abiotic stresses, thus playing a role in high salinity/alkaline stress adaptation in C. rosea.;  ABRE: ABA-responsive element; ERE: ethylene-responsive element; MYB: MYB transcription factor (TF) binding site confirmed in Arabidopsis; MBS: MYB TF binding site involved in drought-inducibility; TC-rich repeat: cis-acting element involved in defense and stress responsiveness; MYC: MYC TF binding site confirmed in Arabidopsis.; To further verify that CrNHXs are involved in the specific responses of C. rosea plants to different stresses, we analyzed the transcriptional expression of CrNHXs under high salinity/alkaline, high osmotic stress, and heat treatment, to mimic each single stress factor in the specialized habitat of the tropical coral reef as closely as possible.;  As shown in Figure 7 and Figure S4, the expression of eight CrNHXs showed different patterns (upregulated or downregulated) under these stress challenges in the seedling roots and leaves.;  In general, the expression of CrNHXs in the C. rosea seedlings showed more obvious transcriptional changes under high salinity stress than under alkaline or high osmosis stresses, which might be closely related to their biochemical functions being ion channels.;  In the root, after 2 h of salt stress, CrNHX5 and CrNHX7 were obviously induced (by 33.71 and 136.83%), while the expression of CrNHX4 was downregulated (by −42.95%); high alkaline stress only induced CrNHX7 expression (by 35.21%) and decreased the expression of CrNHX3-1 (by −48.98%), CrNHX4 (by −90.09%), and CrNHX4-1 (by −57.71%) in the root at the 2 h time point, while high osmotic stress also greatly decreased the expression of CrNHX3-1 (by −39.85%) and CrNHX4 (by −60.95%) at 2 h in root (Figure 7A).;  In contrast, high salt stress for 2 h caused the decreased expression of CrNHX5 (by −39.24%) and CrNHX7 (by –32.48%) in the leaf samples, as well as the high alkaline challenge (by −43.02% and −40.13%, respectively); the high osmotic stress also obviously decreased the expression of CrNHX5 (by −43.30%) in C. rosea leaf at the 2 h time point (Figure 7B).;  In the root, after 48 h of salt change, only CrNHX5 showed obviously upregulated expression patterns (by 62.59%), while the high alkaline and osmotic stresses caused irregular transcriptional changes (Figure 7C).;  Comparatively, in the leaf after a 48 h stress challenge, the expression of four CrNHXs was affected, and CrNHX5 showed an obviously upregulated expression pattern (by 97.41, 69.65, and 79.74%, respectively); CrNHX1 showed an obviously downregulated expression pattern responding to these three challenges (by –99.33%, −81.24%, and −89.25%, respectively).;  The expression of CrNHX3-1 was decreased by high salt stress (by −72.03%), while the expression of CrNHX7 was slightly induced by high alkaline and osmotic stresses (by 54.26 and 16.23%) (Figure 7D).; Heatmaps showing the expression changes of CrNHXs under high salinity, alkaline, and high osmosis stresses. (A,B) The expression differences of eight CrNHXs in the root (A) and leaf (B) after 2 h abiotic stress challenge; (C,D) the expression differences of eight CrNHXs in the root (C) and leaf (D) after 48 h abiotic stress challenge.; Heat stress can cause cellular metabolic disorders and even the death of plants.;  Our results showed that the expression levels of most CrNHXs were lower after 2 h heat stress (HS) than in the controls (Figure 8), which indicated that this gene family might respond to heat stress by decreasing its transcription, thereby coping with energy imbalances and metabolic disorders.;  In general, our RNA-seq results demonstrated that this gene family might be involved in multiple stresses and may play different roles in these stresses.; (A) Heatmaps showing the expression levels of the eight CrNHXs under heat shock stress.;  Asterisks indicate significant differences from the CK (control check, without heat stress, Student’s t-test, * p < 0.05 and ** p < 0.01).;  The RNA was isolated from the leaf and root tissues at 2 h or 48 h after the same stress treatment that the RNA-seq assays were initiated.;  The results of the qRT-PCR analysis showed that seven CrNHXs responded to different stresses to varying degrees, and similarly, the expression of CrNHXs under salt stress was more greatly regulated in both the root and leaf samples, and the alkali stress also resulted in variable expression patterns of several CrNHX members, such as CrNHX1 and CrNHX4.;  In brief, after 2 h challenges, the expression of CrNHX1 was obviously induced by high salinity, alkaline, and high osmotic stress both in root (by 689.86, 187.53 and 118.38%) and in leaf (by 317.30, 494.99 and 120.95%), while the expression of CrNHX4 was only induced in leaf by salt, alkaline, and high osmotic stresses, till 541.22, 588.62 and 695.85%, respectively.;  The alkaline stress induced the expression of CrNHX6/7 in root (by 90.31 and 129.24%) and CrNHX4-1 in leaf (by 172.93%) under short-term challenge.;  After 48 h challenges, the expression of CrNHX1 was greatly induced by salt and alkaline in root, and the expression levels reached to almost 17 and 18-fold changes (by 1574.74 and 1661.48% increasing), while in leaf tissue, the expression of CrNHX1, CrNHX3-1, CrNHX4, and CrNHX4-1 was all decreased greatly in different levels, while the high salinity and osmotic stresses strongly induced the expression of CrNHX5 (by 155.31 and 79.36%), as well as the expression of CrNHX6 (by 194.91 and 73.11%).;  Under high osmosis treatment, in the leaf sample, both CrNHX1/4 and CrNHX5/6 showed a time-dependent induced expression pattern, indicating that these genes might play important roles under drought stress.;  In conclusion, our results suggested that this CrNHX family presented different expression patterns in response to abiotic stresses, which are representative conditions of the ecological environments on tropical coral reefs, indicating the specificity of CrNHXs in different physiological processes or tissue types or the involvement of CrNHXs in the ecological adaptation of C. rosea plants to high salinity/alkali and extreme drought.; Quantitative RT-PCR detection of the expression levels of the eight CrNHXs responding to different stresses (600 mM NaCl, 150 mM NaHCO3, and 300 mM mannitol) in C. rosea seedlings of (A) root samples under 2 h stress challenges; (B) leaf samples under 2 h stress challenges; (C) root samples under 48 h stress challenges; and (D) leaf samples under 48 h stress challenges.;  This mutant strain is highly sensitive to Na+ stress and is relatively sensitive to K+ and hygromycin B stress when grown on AP medium plate [48]. The corresponding wild-type strain W303 was set as a positive control.;  The results showed that the transformed AXT3 lines expressing these genes grew much better than the AXT3 mutant transformed with the empty vector pYES2 under 6, 8, 10, and 12 mM NaCl stress (Figure 10A), with the wild-type strain control W303 always growing well.; Complementation of yeast mutants on solid medium containing different concentrations of stress factors.; Climate change is causing rising sea levels and increased drought, thereby elevating salinization in many regions of the world [49]. Salinity is a key environmental factor and one of the most important abiotic stresses affecting physiological pathways and inhibiting development and growth in plants.;  To tolerate salt stress, plants have developed a series of physiological, biochemical, and ecological strategies.;  Halophytes are likely to possess some morphological, physiological, or molecular mechanisms associated with development and growth regulation that have evolved as adaptive responses to salt tolerance [38]. In general, halophytes can adjust osmotically to the surrounding high salinity by accumulating ions and sequestering them into the vacuoles or out of the cytoplasm to maintain cellular water or solute homeostasis and to prevent adverse effects on metabolism [51]. It is well documented that NHX proteins are involved in salinity tolerance by mediating Na+ transport, K+ homeostasis, pH regulation, and cellular vesicle trafficking, thereby regulating the ion balance in plants under salt stress [52].; It has been confirmed that plant NHXs play vital roles in various cellular processes in response to high salinity stress conditions.;  These stress response mechanisms mainly involve H+-coupled cation transportation and cellular compartments regulated by NHXs and their interacting proteins, which produce channels across the membrane.;  It is thus of great importance to study how plants respond to high salinity/alkaline and related hyperosmotic or drought stresses with regard to growth, development, and even natural ecological adaptability.;  In this study, eight CrNHX genes were comprehensively investigated for the first time based on the C. rosea genome data, and the expression profiles of these CrNHXs were analyzed to explore their functions in the abiotic stress response in different C. rosea tissues.;  Some members identified from other plant species have been well characterized and are proved to be associated with salt tolerance in plants, mainly including NHX7/SOS1 genes in Arabidopsis [10], soybean [53], rice [54], cotton [55], and wheat [56]. Vac-NHX or Endo-NHX can form convenient channels for vacuolar or endomembrane system Na+/K+ sequestration, while PM-NHX is mainly responsible for the Na+/K+ efflux out of the cell in exchange for H+ influx into the cell [52,57]. Besides several Arabidopsis Vac-NHX or Endo-NHX members [12,13,14,15,16], some other Vac-NHX or Endo-NHX genes have been confirmed to be involved in the compartmentalization of Na+/K+ into the vacuoles or intracellular compartmentalization and are critical of salt tolerance in other plant species [48,58,59]. In recent years, the functional identification of NHX genes from plant species growing in specialized habitats has been explored, including in eremophytes and halophytes [60,61,62,63]. Understanding the specific mechanisms by which NHX family members are involved in salt tolerance and stress regulation will be of great significance for elucidating the environmental adaptation mechanisms of plants in specialized habitats.;  In this study, we mainly focused on some hormone-responsive and abiotic stress-related elements that have been confirmed in other plant species, and we propose that these elements hold some function similarities in C. rosea.;  The ABRE, MYC-, MYB-, and TC-rich repeat elements are believed to be involved in plant responses to dehydration, low temperature, salt stress, and other abiotic stresses.;  CrNHX1, CrNHX4-1, CrNHX6, and CrNHX7 harbored more stress-related cis-regulatory elements (dismissing the light response elements) (Figure 4), which might be the reason for these genes presenting significant transcriptional changes to abiotic stresses.;  ABA is a critical signaling hormone that adjusts the physiological or metabolic processes of plants in vivo in response to various environmental abiotic stresses [66], and ABREs are kind of the critical regulatory elements found in the promoters of stress-responsive genes.;  ABFs belong to the basic-domain leucine zipper (bZIP) transcription family and induce the transcriptional activation of the stress-inducible genes [67]. Seven of the CrNHX promoters (except CrNHX3-1) contained one or more ABREs, indicating that these CrNHXs might be involved in the ABA signal pathway.;  Although fewer cis-regulatory elements (including ABREs) were found in the promoter of CrNHX3-1, combined with our RNA-seq results, it was also speculated that this gene might be expressed consistently to maintain its transcription at a certain high level (Figure 5 and Figure 6) and that other regulatory mechanisms might exist in the stress responsiveness of CrNHX3-1 (Figure 7 and Figure 8).; At the genetic level, except for the gene structure (including promoter sequences), transcriptional regulation is the most direct method that directly reflects the biological functions of genes, which have been confirmed as being involved in various biological processes, such as hormonal responses, abiotic stress responses, and development in plants.;  The differential expression of CrNHXs might be associated with Na+ and K+/H+ absorption and transport in different habitats, and the lower expression level of CrNHXs in coastal C. rosea plants might be an adaptive mechanism to deal with intracellular and extracellular high salinity/alkaline stress, while the transcriptional characteristics of CrNHXs in YX-native C. rosea plant roots are unclear and need further clarification.; Given the extreme salt/alkaline, drought, and heat environment on YX Island, we mimicked the main stress factors to detect the expression patterns of CrNHXs, including high salinity, alkaline, high osmosis, and heat stress.;  In general, the transcript changes in the root of the CrNHXs showed more variability than that in the leaves under different abiotic stress challenges (Figure 7, Figure 8 and Figure S4).;  This can be attributed to the fact that in the roots the high salinity/alkaline was stronger and more direct, which might result in the immediate promotion of cellular Na+/K+ distribution in the root, while in the leaf, the transcriptional response was slow until 48 h, and CrNHX5 and CrNHX6 demonstrated induced expression after those abiotic stress challenges (Figure 7 and Figure 8).;  In the stressful habitat, the CrNHXs members in different parts of the plant might be subject to different regulatory mechanisms and then play differentiating roles in regulating the translocation of the saline ions.; Over-expression in yeast systems is widely used to study the function of genes under biotic stresses.;  Among them, Na+ toxicity is a principal cause of the deleterious effects associated with salinity stress, whereas H+ is essential for balancing cellular acid-alkali levels.;  In contrast to MnNHXs in mulberry [48], two Vac-type CrNHXs, CrNHX1 and CrNHX3, showed greatly enhanced tolerance to salt-stress (Na+/K+ tolerance) compared to the two Endo-type CrNHXs (CrNHX5 and CrNHX6) and PM-type CrNHX7, and the hygromycin B tolerance seemed to be similar (Figure 10C).;  Further detailed analysis of expression profiles for CrNHXs performed using RNA-seq data, as well as using the heterologous expression assays with the yeast system to investigate the transporting activities of several CrNHXs, proved that this family is involved in salt/alkaline stress responses and plays vital roles in ecological adaptability for natural extreme adversity on tropical coral islands and reefs.;  Figure S4: The FPKM values histogram of RNA-seq data for C. rosea seedlings under different abiotic stress challenges (600 mM NaCl, 150 mM NaHCO3, and 300 mM mannitol). (A) Root at 2 h; (B) leaf at 2 h; (C) root at 48 h; (D) leaf at 48 h."
" abiotic stresses","D000079225",35052375,8774410," The qRT-PCR based expression profiling exhibited that CrNHXs responded to different stresses to varying degrees, which further confirmed the specificity of CrNHXs’ in responding to abiotic stresses.;  The seeds were germinated and cultivated in soil/vermiculite mixture for one month to perform various abiotic stresses for the transcriptional analyses of CrNHX members.;  We particularly focused on the hormone-responsive cis-regulatory elements (gibberellin-responsive element, MeJA (methyl jasmonate)-responsiveness element, auxin-responsive element, salicylic acid responsiveness, ethylene-responsive ERE, and ABA-responsive element ABRE) and abiotic stresses cis-regulatory elements (light-responsive element, MYC, and MYB), and other cellular functioning related cis-regulatory elements (ERE, MBS, and TC-rich repeats) were specially identified.;  The cis-regulatory element analysis data suggested that CrNHX genes might respond to multiple hormones and abiotic stresses, thus playing a role in high salinity/alkaline stress adaptation in C. rosea.;  In conclusion, our results suggested that this CrNHX family presented different expression patterns in response to abiotic stresses, which are representative conditions of the ecological environments on tropical coral reefs, indicating the specificity of CrNHXs in different physiological processes or tissue types or the involvement of CrNHXs in the ecological adaptation of C. rosea plants to high salinity/alkali and extreme drought.; Climate change is causing rising sea levels and increased drought, thereby elevating salinization in many regions of the world [49]. Salinity is a key environmental factor and one of the most important abiotic stresses affecting physiological pathways and inhibiting development and growth in plants.;  The ABRE, MYC-, MYB-, and TC-rich repeat elements are believed to be involved in plant responses to dehydration, low temperature, salt stress, and other abiotic stresses.;  CrNHX1, CrNHX4-1, CrNHX6, and CrNHX7 harbored more stress-related cis-regulatory elements (dismissing the light response elements) (Figure 4), which might be the reason for these genes presenting significant transcriptional changes to abiotic stresses.;  ABA is a critical signaling hormone that adjusts the physiological or metabolic processes of plants in vivo in response to various environmental abiotic stresses [66], and ABREs are kind of the critical regulatory elements found in the promoters of stress-responsive genes."
"Stress-Tolerant Bacillus halotolerans Strain","D000079225",34681129,8533444,""
"Stress","D000079225",28087527,5335526,""
"Cold","D000067390 ",32833498,7116095,""
" halophilic/psychrophilic bacteria","C537702",32833498,7116095," However, the question remains as to whether our novel hypothesis that halophilic/psychrophilic bacteria or archaea can alter the freezing/melting curve of salt solutions could be validated."
"infection","D007239",36721347,9929850,"Bacteriophages encode a wide variety of cell wall disrupting enzymes that aid the viral escape in the final stages of infection.;  These lytic enzymes have accumulated notable interest due to their potential as novel antibacterials for infection treatment caused by multiple‐drug resistant bacteria.; The release of viral progeny in the terminal phase of phage infection is mediated by a wide range of bacteriophage lytic enzymes.;  The functional importance of lytic amidases encoded in bacterial as well as viral genomes is associated with effective cell lysis by peptidoglycan disruption under certain conditions during infection or virion release."
"Stresses","D000079225 ",35742848,9223760,""
