species,SpeciesID,Length,PMID
WW3-SN6,92608.0,1,[10972188]
X5B,930128.0,1,[26696418]
Xanthomonas campestris,339.0,1,[15480866]
Xenopus,8355.0,1,[24214268]
Xeromyces bisporus,89491.0,1,[27871132]
Xylaria grammica,363999.0,1,[34228196]
Y. lipolytica,4952.0,1,[26859958]
YN-1,72581.0,1,[9672682]
Yarrowia lipolytica,4952.0,1,[26859958]
Yeast,4932.0,1,[15127306]
Yeasts,4932.0,1,[30266724]
Zea mays,4577.0,1,[30897508]
a,1582.0,1,[9672682]
a  delta,488839.0,1,[35384246]
a Bacillus,29564.0,1,[30457468]
actinobacterium,1883427.0,2,"[22359317, 27903085]"
actinomycete,100235.0,3,"[11699647, 33404954, 22367932]"
algae,569578.0,10,"[38133826, 22367932, 29779132, 35021589, 33819431, 32533304, 25443670, 20373120, 23625082, 11809961]"
alpha-Proteobacteria,28211.0,1,[15064989]
barley,4513.0,1,[21974779]
beta-Proteobacteria,28216.0,2,"[15064989, 16215773]"
biota,131567.0,3,"[38225962, 22367932, 27059740]"
black yeasts,34395.0,1,[29538737]
blue swimming crab,146765.0,1,[31236718]
brown algae,2870.0,1,[20373120]
by,34395.0,1,[29538737]
cattle,9913.0,1,[27737605]
chocolate,3641.0,1,[38010865]
cloning vector (pUC19),31851.0,1,[35137293]
date palm,42345.0,1,[26901506]
delta-Proteobacteria,28221.0,1,[15064989]
enrichment,1566732.0,4,"[29450709, 15480866, 19779762, 19536453]"
enrichment culture,1566338.0,5,"[19625440, 10972192, 19218420, 19779762, 19536453]"
enrichment cultures,1566732.0,10,"[15064991, 36569062, 12768450, 18452025, 19888547, 15856134, 33620581, 29450709, 20407798, 15480866]"
environmental samples,33858.0,1,[24903703]
flamingos,435638.0,1,[32321943]
flowering plants,3398.0,1,[22583823]
gamma subdivision,1236.0,1,[15309564]
gamma-subdivision,1236.0,1,[19387766]
green algae,3041.0,6,"[27283019, 24281914, 22367932, 15064977, 31087168, 20373120]"
higher plants,3193.0,2,"[12932132, 22583823]"
higher termites,46569.0,1,[15856134]
human,9606.0,16,"[35688350, 30457468, 27891113, 30796504, 29538737, 32533304, 26733008, 37367588, 28737704, 20091326, 30400922, 22295871, 33208066, 29779132, 31564490, 27871132]"
lambda phage,10710.0,1,[10972189]
lima bean,3884.0,1,[37427410]
magnetotactic,2479342.0,1,[21605309]
magnetotactic bacterium,2479342.0,1,[21605309]
maize,4577.0,1,[30897508]
mammalian,9606.0,1,[36094301]
marine bacterium,56765.0,2,"[29497843, 26439615]"
metagenome,256318.0,3,"[23708551, 30231921, 36414646]"
metagenomes,408169.0,3,"[30231921, 31592688, 34777269]"
mice,10090.0,1,[30400922]
mixed culture,1306155.0,2,"[15999222, 22311159]"
mixed sample,1427524.0,1,[10879559]
n. sp,37027.0,2,"[12910386, 34389775]"
olive,4146.0,2,"[31218179, 15252724]"
patients,9606.0,1,[36000901]
people,9606.0,1,[35587636]
phototrophic,52958.0,2,"[18385928, 34310933]"
phototrophic bacteria,52958.0,1,[18385928]
phototrophic bacterium,52958.0,1,[34310933]
plasmid,2580.0,1,[11778838]
plasmid pJP4,2580.0,1,[11778838]
purple bacteria,1224.0,4,"[37481751, 34310933, 31087168, 35630403]"
purple non-sulfur bacteria,1224.0,2,"[26941731, 23609187]"
purple nonsulfur bacteria,41295.0,1,[37481751]
purple sulfur bacteria,1046.0,1,[37481751]
rice,4530.0,1,[29681022]
shuttle vector,45197.0,3,"[12072958, 26026992, 26791382]"
soybean,3847.0,1,[27142029]
spelt,58933.0,1,[27240670]
strain SK-1,1305.0,1,[26791382]
strain Z,83561.0,1,[37520367]
termites,1912919.0,1,[15856134]
tobacco,4097.0,1,[22583823]
tomato,4081.0,1,[26909467]
type I methanotrophs,403.0,1,[10879559]
uncultured,198431.0,2,"[30231921, 18427718]"
uncultured archaea,115547.0,1,[18427718]
uncultured bacteria,77133.0,1,[32525738]
uncultured bacterium,77133.0,1,[27283019]
uncultured prokaryote,198431.0,1,[30231921]
vascular plants,58023.0,1,[38285274]
water bears,42241.0,1,[31624306]
white shrimp,6689.0,1,[31236718]
women,9606.0,1,[30400922]
yeast,4932.0,20,"[30266724, 12728359, 36260502, 24214268, 19625440, 17298474, 35742848, 9783169, 22367932, 33925342, 31218179, 35052375, 33620581, 29538737, 18622572, 33404954, 34256694, 23686381, 9672687, 27737605]"
yeasts,4932.0,4,"[17298474, 26859958, 30266724, 27215207]"
