PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30796503","Genomics of Alkaliphiles","Lebre PH, Cowan DA.","Adv Biochem Eng Biotechnol. 2020;172:135-155. doi: 10.1007/10_2018_83.","Lebre PH","Adv Biochem Eng Biotechnol","2020","2019/02/24","","","10.1007/10_2018_83"
"29958498","Stabilization of dry protein coatings with compatible solutes","Killian MS, Taylor AJ, Castner DG.","Biointerphases. 2018 Jun 29;13(6):06E401. doi: 10.1116/1.5031189.","Killian MS","Biointerphases","2018","2018/07/01","PMC6026024","","10.1116/1.5031189"
"35137260","Anion-type modulates the effect of salt stress on saline lake bacteria","Csitári B, Bedics A, Felföldi T, Boros E, Nagy H, Máthé I, Székely AJ.","Extremophiles. 2022 Feb 9;26(1):12. doi: 10.1007/s00792-022-01260-5.","Csitári B","Extremophiles","2022","2022/02/09","PMC8825391","","10.1007/s00792-022-01260-5"
"36000901","Culturomics of Bacteria from Radon-Saturated Water of the World's Oldest Radium Mine","Kapinusova G, Jani K, Smrhova T, Pajer P, Jarosova I, Suman J, Strejcek M, Uhlik O.","Microbiol Spectr. 2022 Oct 26;10(5):e0199522. doi: 10.1128/spectrum.01995-22. Epub 2022 Aug 24.","Kapinusova G","Microbiol Spectr","2022","2022/08/24","PMC9602452","","10.1128/spectrum.01995-22"
"34389775","Tokorhabditis n. gen. (Rhabditida, Rhabditidae), a comparative nematode model for extremophilic living","Kanzaki N, Yamashita T, Lee JS, Shih PY, Ragsdale EJ, Shinya R.","Sci Rep. 2021 Aug 13;11(1):16470. doi: 10.1038/s41598-021-95863-1.","Kanzaki N","Sci Rep","2021","2021/08/14","PMC8363662","","10.1038/s41598-021-95863-1"
"35661272","Evansella halocellulosilytica sp. nov., an alkali-halotolerant and cellulose-dissolving bacterium isolated from bauxite residue","Liu GH, Narsing Rao MP, Chen QQ, Che JM, Shi H, Liu B, Li WJ.","Extremophiles. 2022 Jun 4;26(2):19. doi: 10.1007/s00792-022-01267-y.","Liu GH","Extremophiles","2022","2022/06/06","","","10.1007/s00792-022-01267-y"
"35238571","Ice Recrystallization Inhibition by Amino Acids: The Curious Case of Alpha- and Beta-Alanine","Warren MT, Galpin I, Bachtiger F, Gibson MI, Sosso GC.","J Phys Chem Lett. 2022 Mar 10;13(9):2237-2244. doi: 10.1021/acs.jpclett.1c04080. Epub 2022 Mar 3.","Warren MT","J Phys Chem Lett","2022","2022/03/03","PMC9007522","","10.1021/acs.jpclett.1c04080"
"36094301","A Novel Cryptic Clostridial Peptide That Kills Bacteria by a Cell Membrane Permeabilization Mechanism","Szadkowska M, Olewniczak M, Kloska A, Jankowska E, Kapusta M, Rybak B, Wyrzykowski D, Zmudzinska W, Gieldon A, Kocot A, Kaczorowska AK, Nierzwicki L, Makowska J, Kaczorowski T, Plotka M.","Microbiol Spectr. 2022 Oct 26;10(5):e0165722. doi: 10.1128/spectrum.01657-22. Epub 2022 Sep 12.","Szadkowska M","Microbiol Spectr","2022","2022/09/12","PMC9602519","","10.1128/spectrum.01657-22"
"37577439","Membrane proteome of the thermoalkaliphile Caldalkalibacillus thermarum TA2.A1","de Jong SI, Sorokin DY, van Loosdrecht MCM, Pabst M, McMillan DGG.","Front Microbiol. 2023 Jul 28;14:1228266. doi: 10.3389/fmicb.2023.1228266. eCollection 2023.","de Jong SI","Front Microbiol","2023","2023/08/14","PMC10416648","","10.3389/fmicb.2023.1228266"
"38010865","Evaluation of a novel purified and characterized alkaline protease from the extremophile Exiguobacterium alkaliphilum VLP1 as a detergent additive","Hemsinli A, Gurkok S.","Biotechnol J. 2024 Jan;19(1):e2300441. doi: 10.1002/biot.202300441. Epub 2023 Nov 30.","Hemsinli A","Biotechnol J","2024","2023/11/27","","","10.1002/biot.202300441"
"31564490","Newly Identified Nematodes from Mono Lake Exhibit Extreme Arsenic Resistance","Shih PY, Lee JS, Shinya R, Kanzaki N, Pires-daSilva A, Badroos JM, Goetz E, Sapir A, Sternberg PW.","Curr Biol. 2019 Oct 7;29(19):3339-3344.e4. doi: 10.1016/j.cub.2019.08.024. Epub 2019 Sep 26.","Shih PY","Curr Biol","2019","2019/10/01","","","10.1016/j.cub.2019.08.024"
"33090301","Effect of pH on the activity of ice-binding protein from Marinomonas primoryensis","Delesky EA, Thomas PE, Charrier M, Cameron JC, Srubar WV 3rd.","Extremophiles. 2021 Jan;25(1):1-13. doi: 10.1007/s00792-020-01206-9. Epub 2020 Oct 22.","Delesky EA","Extremophiles","2021","2020/10/22","","","10.1007/s00792-020-01206-9"
"34256694","Genome-wide identification and expression analysis of aquaporin family in Canavalia rosea and their roles in the adaptation to saline-alkaline soils and drought stress","Lin R, Zheng J, Pu L, Wang Z, Mei Q, Zhang M, Jian S.","BMC Plant Biol. 2021 Jul 13;21(1):333. doi: 10.1186/s12870-021-03034-1.","Lin R","BMC Plant Biol","2021","2021/07/14","PMC8278772","","10.1186/s12870-021-03034-1"
"37681980","The bidirectional extracellular electron transfer process aids iron cycling by Geoalkalibacter halelectricus in a highly saline-alkaline condition","Yadav S, Sadhotra C, Patil SA.","Appl Environ Microbiol. 2023 Sep 8:e0060923. doi: 10.1128/aem.00609-23. Online ahead of print.","Yadav S","Appl Environ Microbiol","2023","2023/09/08","","","10.1128/aem.00609-23"
"9783169","Analysis of intracellular pH in the yeast Saccharomyces cerevisiae under elevated hydrostatic pressure: a study in baro- (piezo-) physiology","Abe F, Horikoshi K.","Extremophiles. 1998 Aug;2(3):223-8. doi: 10.1007/s007920050064.","Abe F","Extremophiles","1998","1998/10/23","","","10.1007/s007920050064"
"36131073","Expression of an extremophilic xylanase in Nicotiana benthamiana and its use for the production of prebiotic xylooligosaccharides","Talens-Perales D, Nicolau-Sanus M, Polaina J, Daròs JA.","Sci Rep. 2022 Sep 21;12(1):15743. doi: 10.1038/s41598-022-19774-5.","Talens-Perales D","Sci Rep","2022","2022/09/21","PMC9492658","","10.1038/s41598-022-19774-5"
"33977442","Characterizationharacterization of Extremophilic Actinomycetes Strains as Sources of Antimicrobial Agents","Abdukhakimova D, Markhametova Z, Shamkeeva S, Zhulamanova A, Trenozhnikova L, Berezin V, Azizan A.","Methods Mol Biol. 2021;2296:59-75. doi: 10.1007/978-1-0716-1358-0_4.","Abdukhakimova D","Methods Mol Biol","2021","2021/05/12","","","10.1007/978-1-0716-1358-0_4"
"9680297","Mechanisms of cytoplasmic pH regulation in alkaliphilic strains of Bacillus","Krulwich TA, Ito M, Gilmour R, Guffanti AA.","Extremophiles. 1997 Nov;1(4):163-9. doi: 10.1007/s007920050030.","Krulwich TA","Extremophiles","1997","1998/07/29","","","10.1007/s007920050030"
"36149604","Isotherm and kinetics modeling of biosorption and bioreduction of the Cr(VI) by Brachybacterium paraconglomeratum ER41","Harboul K, Alouiz I, Hammani K, El-Karkouri A.","Extremophiles. 2022 Sep 23;26(3):30. doi: 10.1007/s00792-022-01278-9.","Harboul K","Extremophiles","2022","2022/09/23","","","10.1007/s00792-022-01278-9"
"22327111","Cloning and expression of alkaline protease genes from two salt-tolerant alkaliphilic actinomycetes in E. coli","Gohel SD, Singh SP.","Int J Biol Macromol. 2012 Apr 1;50(3):664-71. doi: 10.1016/j.ijbiomac.2012.01.039. Epub 2012 Feb 3.","Gohel SD","Int J Biol Macromol","2012","2012/02/14","","","10.1016/j.ijbiomac.2012.01.039"
"9783179","Life on Mars: chemical arguments and clues from Martian meteorites","Brack A, Pillinger CT.","Extremophiles. 1998 Aug;2(3):313-9. doi: 10.1007/s007920050074.","Brack A","Extremophiles","1998","1998/10/23","","","10.1007/s007920050074"
"33515353","Characterization of a carboxylesterase with hyper-thermostability and alkali-stability from Streptomyces lividans TK24","Chang X, Wu S, Chen J, Xiong S, Wang P, Shi X, Wang A, Wang B.","Extremophiles. 2021 Mar;25(2):115-128. doi: 10.1007/s00792-021-01215-2. Epub 2021 Jan 30.","Chang X","Extremophiles","2021","2021/01/30","","","10.1007/s00792-021-01215-2"
"10805564","Analysis of the genome of an alkaliphilic Bacillus strain from an industrial point of view","Takami H, Horikoshi K.","Extremophiles. 2000 Apr;4(2):99-108. doi: 10.1007/s007920050143.","Takami H","Extremophiles","2000","2000/05/11","","","10.1007/s007920050143"
"31041481","Alkaliphiles: The Emerging Biological Tools Enhancing Concrete Durability","Mamo G, Mattiasson B.","Adv Biochem Eng Biotechnol. 2020;172:293-342. doi: 10.1007/10_2019_94.","Mamo G","Adv Biochem Eng Biotechnol","2020","2019/05/02","","","10.1007/10_2019_94"
"35630403","Salt- and pH-Dependent Thermal Stability of Photocomplexes from Extremophilic Bacteriochlorophyll b-Containing Halorhodospira Species","Kimura Y, Nakata K, Nojima S, Takenaka S, Madigan MT, Wang-Otomo ZY.","Microorganisms. 2022 May 2;10(5):959. doi: 10.3390/microorganisms10050959.","Kimura Y","Microorganisms","2022","2022/05/28","PMC9146400","","10.3390/microorganisms10050959"
"36250323","Two closely related ureotelic fish species of the genus Alcolapia express different levels of ammonium transporters in gills","White LJ, Rose M, Lawson M, Joyce D, Smith AM, Thomas GH, Dasmahapatra KK, Pownall ME.","Biol Open. 2022 Nov 1;11(11):bio059575. doi: 10.1242/bio.059575. Epub 2022 Nov 7.","White LJ","Biol Open","2022","2022/10/17","PMC9672858","","10.1242/bio.059575"
"19002649","A new high-alkaline alginate lyase from a deep-sea bacterium Agarivorans sp","Kobayashi T, Uchimura K, Miyazaki M, Nogi Y, Horikoshi K.","Extremophiles. 2009 Jan;13(1):121-9. doi: 10.1007/s00792-008-0201-7. Epub 2008 Nov 13.","Kobayashi T","Extremophiles","2009","2008/11/13","","","10.1007/s00792-008-0201-7"
"31624306","Differential mechanisms of tolerance to extreme environmental conditions in tardigrades","Carrero D, Pérez-Silva JG, Quesada V, López-Otín C.","Sci Rep. 2019 Oct 17;9(1):14938. doi: 10.1038/s41598-019-51471-8.","Carrero D","Sci Rep","2019","2019/10/19","PMC6797769","","10.1038/s41598-019-51471-8"
"38285274","Specific metabolic and cellular mechanisms of the vegetative desiccation tolerance in resurrection plants for adaptation to extreme dryness","Liu J, Wang Y, Chen X, Tang L, Yang Y, Yang Z, Sun R, Mladenov P, Wang X, Liu X, Jin S, Li H, Zhao L, Wang Y, Wang W, Deng X.","Planta. 2024 Jan 29;259(2):47. doi: 10.1007/s00425-023-04323-9.","Liu J","Planta","2024","2024/01/29","","","10.1007/s00425-023-04323-9"
"28715207","Antifreeze Protein Mimetic Metallohelices with Potent Ice Recrystallization Inhibition Activity","Mitchell DE, Clarkson G, Fox DJ, Vipond RA, Scott P, Gibson MI.","J Am Chem Soc. 2017 Jul 26;139(29):9835-9838. doi: 10.1021/jacs.7b05822. Epub 2017 Jul 18.","Mitchell DE","J Am Chem Soc","2017","2017/07/18","PMC5562393","","10.1021/jacs.7b05822"
"29932648","Ice Recrystallization Inhibiting Polymers Enable Glycerol-Free Cryopreservation of Microorganisms","Hasan M, Fayter AER, Gibson MI.","Biomacromolecules. 2018 Aug 13;19(8):3371-3376. doi: 10.1021/acs.biomac.8b00660. Epub 2018 Jul 6.","Hasan M","Biomacromolecules","2018","2018/06/23","PMC6588267","","10.1021/acs.biomac.8b00660"
"36000998","Microbial Growth in Martian Soil Simulants Under Terrestrial Conditions: Guiding the Search for Life on Mars","Naz N, Liu D, Harandi BF, Kounaves SP.","Astrobiology. 2022 Oct;22(10):1210-1221. doi: 10.1089/ast.2022.0022. Epub 2022 Aug 23.","Naz N","Astrobiology","2022","2022/08/24","","","10.1089/ast.2022.0022"
"24903703","Geochemistry and microbial ecology in alkaline hot springs of Ambitle Island, Papua New Guinea","Meyer-Dombard DR, Amend JP.","Extremophiles. 2014 Jul;18(4):763-78. doi: 10.1007/s00792-014-0657-6. Epub 2014 Jun 6.","Meyer-Dombard DR","Extremophiles","2014","2014/06/07","","","10.1007/s00792-014-0657-6"
"31606813","Prokaryotic community in Pleistocene ice wedges of Mammoth Mountain","Rakitin A, Beletsky A, Mardanov A, Surgucheva N, Sorokin V, Cherbunina M, Brouchkov A, Mulyukin A, Filippova S.","Extremophiles. 2020 Jan;24(1):93-105. doi: 10.1007/s00792-019-01138-z. Epub 2019 Oct 12.","Rakitin A","Extremophiles","2020","2019/10/14","","","10.1007/s00792-019-01138-z"
"31679078","Water masses influence bacterioplankton community structure in summer Kongsfjorden","Cao S, Zhang F, He J, Ji Z, Zhou Q.","Extremophiles. 2020 Jan;24(1):107-120. doi: 10.1007/s00792-019-01139-y. Epub 2019 Nov 2.","Cao S","Extremophiles","2020","2019/11/04","","","10.1007/s00792-019-01139-y"
"36362210","Use of a Novel Extremophilic Xylanase for an Environmentally Friendly Industrial Bleaching of Kraft Pulps","Almeida N, Meyer V, Burnet A, Boucher J, Talens-Perales D, Pereira S, Ihalainen P, Levée T, Polaina J, Petit-Conil M, Camarero S, Pinto P.","Int J Mol Sci. 2022 Nov 3;23(21):13423. doi: 10.3390/ijms232113423.","Almeida N","Int J Mol Sci","2022","2022/11/11","PMC9654485","","10.3390/ijms232113423"
"24817611","Bacterial diversity of extremely alkaline bauxite residue site of alumina industrial plant using culturable bacteria and residue 16S rRNA gene clones","Krishna P, Babu AG, Reddy MS.","Extremophiles. 2014 Jul;18(4):665-76. doi: 10.1007/s00792-014-0647-8. Epub 2014 May 11.","Krishna P","Extremophiles","2014","2014/05/13","","","10.1007/s00792-014-0647-8"
"30485446","Photolyases and Cryptochromes in UV-resistant Bacteria from High-altitude Andean Lakes","Portero LR, Alonso-Reyes DG, Zannier F, Vazquez MP, Farías ME, Gärtner W, Albarracín VH.","Photochem Photobiol. 2019 Jan;95(1):315-330. doi: 10.1111/php.13061. Epub 2019 Jan 21.","Portero LR","Photochem Photobiol","2019","2018/11/29","","","10.1111/php.13061"
"31938738","Isolation of haloalkaliphilic fungi from Lake Magadi in Kenya","Orwa P, Mugambi G, Wekesa V, Mwirichia R.","Heliyon. 2020 Jan 9;6(1):e02823. doi: 10.1016/j.heliyon.2019.e02823. eCollection 2020 Jan.","Orwa P","Heliyon","2020","2020/01/16","PMC6953635","","10.1016/j.heliyon.2019.e02823"
"9680321","Thermostable alkaline cellulase from an alkaliphilic isolate, Bacillus sp. KSM-S237","Hakamada Y, Koike K, Yoshimatsu T, Mori H, Kobayashi T, Ito S.","Extremophiles. 1997 Aug;1(3):151-6. doi: 10.1007/s007920050028.","Hakamada Y","Extremophiles","1997","1997/08/01","","","10.1007/s007920050028"
"16770690","Bacterial diversity in permanently cold and alkaline ikaite columns from Greenland","Schmidt M, Priemé A, Stougaard P.","Extremophiles. 2006 Dec;10(6):551-62. doi: 10.1007/s00792-006-0529-9. Epub 2006 Jun 13.","Schmidt M","Extremophiles","2006","2006/06/14","","","10.1007/s00792-006-0529-9"
"35652980","Bacterial diversity and community structure in the rhizosphere of the halophyte Halocnemum strobilaceum in an Algerian arid saline soil","Behairi S, Baha N, Barakat M, Ortet P, Achouak W, Heulin T, Kaci Y.","Extremophiles. 2022 Jun 2;26(2):18. doi: 10.1007/s00792-022-01268-x.","Behairi S","Extremophiles","2022","2022/06/02","","","10.1007/s00792-022-01268-x"
"23252379","Colors of extreme exo-Earth environments","Hegde S, Kaltenegger L.","Astrobiology. 2013 Jan;13(1):47-56. doi: 10.1089/ast.2012.0849. Epub 2012 Dec 19.","Hegde S","Astrobiology","2013","2012/12/21","","","10.1089/ast.2012.0849"
"36572161","Highly efficient polyhydroxyalkanoate production from lignin using genetically engineered Halomonas sp. Y3","Li YQ, Wang MJ, Luo CB.","Bioresour Technol. 2023 Feb;370:128526. doi: 10.1016/j.biortech.2022.128526. Epub 2022 Dec 23.","Li YQ","Bioresour Technol","2023","2022/12/26","","","10.1016/j.biortech.2022.128526"
"20209526","Naphthospironone a: an unprecedented and highly functionalized polycyclic metabolite from an alkaline mine waste extremophile","Ding ZG, Li MG, Zhao JY, Ren J, Huang R, Xie MJ, Cui XL, Zhu HJ, Wen ML.","Chemistry. 2010 Apr 6;16(13):3902-5. doi: 10.1002/chem.200903198.","Ding ZG","Chemistry","2010","2010/03/09","","","10.1002/chem.200903198"
"14991423","Distribution, diversity and activity of microorganisms in the hyper-alkaline spring waters of Maqarin in Jordan","Pedersen K, Nilsson E, Arlinger J, Hallbeck L, O'Neill A.","Extremophiles. 2004 Apr;8(2):151-64. doi: 10.1007/s00792-004-0374-7. Epub 2004 Feb 27.","Pedersen K","Extremophiles","2004","2004/03/03","","","10.1007/s00792-004-0374-7"
"38225962","The potential of Hungarian bauxite residue isolates for biotechnological applications","Feigl V, Medgyes-Horváth A, Kari A, Török Á, Bombolya N, Berkl Z, Farkas É, Fekete-Kertész I.","Biotechnol Rep (Amst). 2023 Dec 20;41:e00825. doi: 10.1016/j.btre.2023.e00825. eCollection 2024 Mar.","Feigl V","Biotechnol Rep (Amst)","2023","2024/01/16","PMC10788403","","10.1016/j.btre.2023.e00825"
"26263620","[CO2-Concentrating Mechanism and Its Traits in Haloalkaliphilic Cyanobacteria]","Kupriyanova EV, Samylina OS.","Mikrobiologiia. 2015 Mar-Apr;84(2):144-59.","Kupriyanova EV","Mikrobiologiia","2015","2015/08/13","","",""
"34322108","Developing Bioprospecting Strategies for Bioplastics Through the Large-Scale Mining of Microbial Genomes","Vuong P, Lim DJ, Murphy DV, Wise MJ, Whiteley AS, Kaur P.","Front Microbiol. 2021 Jul 12;12:697309. doi: 10.3389/fmicb.2021.697309. eCollection 2021.","Vuong P","Front Microbiol","2021","2021/07/29","PMC8312272","","10.3389/fmicb.2021.697309"
"28255636","Degradation of azo dye methyl red by alkaliphilic, halotolerant Nesterenkonia lacusekhoensis EMLA3: application in alkaline and salt-rich dyeing effluent treatment","Bhattacharya A, Goyal N, Gupta A.","Extremophiles. 2017 May;21(3):479-490. doi: 10.1007/s00792-017-0918-2. Epub 2017 Mar 2.","Bhattacharya A","Extremophiles","2017","2017/03/04","","","10.1007/s00792-017-0918-2"
"30105570","Azoreductase from alkaliphilic Bacillus sp. AO1 catalyzes indigo reduction","Suzuki H, Abe T, Doi K, Ohshima T.","Appl Microbiol Biotechnol. 2018 Nov;102(21):9171-9181. doi: 10.1007/s00253-018-9284-y. Epub 2018 Aug 13.","Suzuki H","Appl Microbiol Biotechnol","2018","2018/08/15","","","10.1007/s00253-018-9284-y"
"15856134","Comparison of bacterial communities in the alkaline gut segment among various species of higher termites","Thongaram T, Hongoh Y, Kosono S, Ohkuma M, Trakulnaleamsai S, Noparatnaraporn N, Kudo T.","Extremophiles. 2005 Jun;9(3):229-38. doi: 10.1007/s00792-005-0440-9. Epub 2005 Apr 26.","Thongaram T","Extremophiles","2005","2005/04/28","","","10.1007/s00792-005-0440-9"
"32155764","Structural Characterization of an Archaeal Lipid Bilayer as a Function of Hydration and Temperature","Salvador-Castell M, Demé B, Oger P, Peters J.","Int J Mol Sci. 2020 Mar 6;21(5):1816. doi: 10.3390/ijms21051816.","Salvador-Castell M","Int J Mol Sci","2020","2020/03/12","PMC7084678","","10.3390/ijms21051816"
"37819713","Remote Laser-Induced Breakdown Spectroscopy of Bacterial Growths in Carbonate Rocks in a Mars-like Atmosphere","García-Gómez L, Delgado T, Fortes FJ, Del Rosal Y, Liñán C, Fernández LE, Cabalín LM, Laserna J.","Astrobiology. 2023 Nov;23(11):1179-1188. doi: 10.1089/ast.2022.0153. Epub 2023 Oct 11.","García-Gómez L","Astrobiology","2023","2023/10/11","","","10.1089/ast.2022.0153"
"37987855","Phosphonate consumers potentially contributing to methane production in Brazilian soda lakes","Carvalho CR, Souza BCE, Bieluczyk W, Feitosa YB, Delbaje E, Camargo PB, Tsai SM, Fiore MF.","Extremophiles. 2023 Nov 21;28(1):4. doi: 10.1007/s00792-023-01318-y.","Carvalho CR","Extremophiles","2023","2023/11/21","","","10.1007/s00792-023-01318-y"
"26171779","Anditalea andensis ANESC-ST--An Alkaliphilic Halotolerant Bacterium Capable of Electricity Generation under Alkaline-Saline Conditions","Shi W, Wang VB, Zhao CE, Zhang Q, Loo SC, Yang L, Xu C.","PLoS One. 2015 Jul 14;10(7):e0132766. doi: 10.1371/journal.pone.0132766. eCollection 2015.","Shi W","PLoS One","2015","2015/07/15","PMC4501810","","10.1371/journal.pone.0132766"
"35021589","Impacts of seasonality and operating conditions on algal-dual osmosis membrane system for potable water reuse: Part 2","Bandara GLCL, Abeysiriwardana-Arachchige ISA, Xu X, Lin L, Jiang W, Zhang Y, Johnson DC, Nirmalakhandan N, Xu P.","J Environ Manage. 2022 Feb 15;304:114295. doi: 10.1016/j.jenvman.2021.114295. Epub 2021 Dec 27.","Bandara GLCL","J Environ Manage","2022","2022/01/13","","","10.1016/j.jenvman.2021.114295"
"35384246","Intensified microbial sulfate reduction in the deep Dead Sea during the early Holocene Mediterranean sapropel 1 deposition","Levy EJ, Thomas C, Antler G, Gavrieli I, Turchyn AV, Grossi V, Ariztegui D, Sivan O.","Geobiology. 2022 Jul;20(4):518-532. doi: 10.1111/gbi.12493. Epub 2022 Apr 5.","Levy EJ","Geobiology","2022","2022/04/06","PMC9325388","","10.1111/gbi.12493"
"33799130","Biological selenite removal and recovery of selenium nanoparticles by haloalkaliphilic bacteria isolated from the Nakdong River","Won S, Ha MG, Nguyen DD, Kang HY.","Environ Pollut. 2021 Jul 1;280:117001. doi: 10.1016/j.envpol.2021.117001. Epub 2021 Mar 22.","Won S","Environ Pollut","2021","2021/04/02","","","10.1016/j.envpol.2021.117001"
"19411423","Versatile solidified nanofibrous cellulose-containing media for growth of extremophiles","Tsudome M, Deguchi S, Tsujii K, Ito S, Horikoshi K.","Appl Environ Microbiol. 2009 Jul;75(13):4616-9. doi: 10.1128/AEM.00519-09. Epub 2009 May 1.","Tsudome M","Appl Environ Microbiol","2009","2009/05/05","PMC2704845","","10.1128/AEM.00519-09"
"34228196","Fungi in the Antarctic Cryosphere: Using DNA Metabarcoding to Reveal Fungal Diversity in Glacial Ice from the Antarctic Peninsula Region","de Menezes GCA, Câmara PEAS, Pinto OHB, Convey P, Carvalho-Silva M, Simões JC, Rosa CA, Rosa LH.","Microb Ecol. 2022 Apr;83(3):647-657. doi: 10.1007/s00248-021-01792-x. Epub 2021 Jul 6.","de Menezes GCA","Microb Ecol","2022","2021/07/06","","","10.1007/s00248-021-01792-x"
"30266724","Survival of Extremophilic Yeasts in the Stratospheric Environment during Balloon Flights and in Laboratory Simulations","Pulschen AA, de Araujo GG, de Carvalho ACSR, Cerini MF, Fonseca LM, Galante D, Rodrigues F.","Appl Environ Microbiol. 2018 Nov 15;84(23):e01942-18. doi: 10.1128/AEM.01942-18. Print 2018 Dec 1.","Pulschen AA","Appl Environ Microbiol","2018","2018/09/30","PMC6238051","","10.1128/AEM.01942-18"
"16215773","Tepidimonas taiwanensis sp. nov., a novel alkaline-protease-producing bacterium isolated from a hot spring","Chen TL, Chou YJ, Chen WM, Arun B, Young CC.","Extremophiles. 2006 Feb;10(1):35-40. doi: 10.1007/s00792-005-0469-9. Epub 2005 Oct 8.","Chen TL","Extremophiles","2006","2005/10/11","","","10.1007/s00792-005-0469-9"
"36569062","Prokaryotic and eukaryotic microbial diversity from three soda lakes in the East African Rift Valley determined by amplicon sequencing","Jeilu O, Gessesse A, Simachew A, Johansson E, Alexandersson E.","Front Microbiol. 2022 Dec 8;13:999876. doi: 10.3389/fmicb.2022.999876. eCollection 2022.","Jeilu O","Front Microbiol","2022","2022/12/26","PMC9772273","","10.3389/fmicb.2022.999876"
"33255932","The Structure of the Lipid A of Gram-Negative Cold-Adapted Bacteria Isolated from Antarctic Environments","Di Lorenzo F, Crisafi F, La Cono V, Yakimov MM, Molinaro A, Silipo A.","Mar Drugs. 2020 Nov 26;18(12):592. doi: 10.3390/md18120592.","Di Lorenzo F","Mar Drugs","2020","2020/12/01","PMC7759928","","10.3390/md18120592"
"20703955","In vitro renaturation of alkaline family G/11 xylanase via a folding intermediate: alpha-crystallin facilitates refolding in an ATP-independent manner","Dutta T, Bhattacharjee A, Majumdar U, Ray SS, Sahoo R, Ghosh S.","Appl Biochem Biotechnol. 2010 Nov;162(5):1238-48. doi: 10.1007/s12010-009-8854-y. Epub 2009 Nov 22.","Dutta T","Appl Biochem Biotechnol","2010","2010/08/13","","","10.1007/s12010-009-8854-y"
"22350256","Bacterial biodiversity from anthropogenic extreme environments: a hyper-alkaline and hyper-saline industrial residue contaminated by chromium and iron","Brito EM, Piñón-Castillo HA, Guyoneaud R, Caretta CA, Gutiérrez-Corona JF, Duran R, Reyna-López GE, Nevárez-Moorillón GV, Fahy A, Goñi-Urriza M.","Appl Microbiol Biotechnol. 2013 Jan;97(1):369-78. doi: 10.1007/s00253-012-3923-5. Epub 2012 Feb 17.","Brito EM","Appl Microbiol Biotechnol","2013","2012/02/22","","","10.1007/s00253-012-3923-5"
"11589226","[Microbial diversity of deep-sea extremophiles--Piezophiles, Hyperthermophiles, and subsurface microorganisms]","Kato C, Takai K.","Biol Sci Space. 2000 Dec;14(4):341-52. doi: 10.2187/bss.14.341.","Kato C","Biol Sci Space","2000","2001/10/09","","","10.2187/bss.14.341"
"34777269","Culture-Independent Exploration of the Hypersaline Ecosystem Indicates the Environment-Specific Microbiome Evolution","Mehta P, Yadav M, Ahmed V, Goyal K, Pandey R, Chauhan NS.","Front Microbiol. 2021 Oct 28;12:686549. doi: 10.3389/fmicb.2021.686549. eCollection 2021.","Mehta P","Front Microbiol","2021","2021/11/15","PMC8581802","","10.3389/fmicb.2021.686549"
"26159877","Detergent-, solvent- and salt-compatible thermoactive alkaline serine protease from halotolerant alkaliphilic Bacillus sp. NPST-AK15: purification and characterization","Ibrahim AS, Al-Salamah AA, El-Badawi YB, El-Tayeb MA, Antranikian G.","Extremophiles. 2015 Sep;19(5):961-71. doi: 10.1007/s00792-015-0771-0. Epub 2015 Jul 10.","Ibrahim AS","Extremophiles","2015","2015/07/11","","","10.1007/s00792-015-0771-0"
"30231921","A metagenomics roadmap to the uncultured genome diversity in hypersaline soda lake sediments","Vavourakis CD, Andrei AS, Mehrshad M, Ghai R, Sorokin DY, Muyzer G.","Microbiome. 2018 Sep 19;6(1):168. doi: 10.1186/s40168-018-0548-7.","Vavourakis CD","Microbiome","2018","2018/09/21","PMC6146748","","10.1186/s40168-018-0548-7"
"24281914","Unique picoeukaryotic algal community under multiple environmental stress conditions in a shallow, alkaline pan","Pálffy K, Felföldi T, Mentes A, Horváth H, Márialigeti K, Boros E, Vörös L, Somogyi B.","Extremophiles. 2014 Jan;18(1):111-9. doi: 10.1007/s00792-013-0602-0. Epub 2013 Nov 27.","Pálffy K","Extremophiles","2014","2013/11/28","","","10.1007/s00792-013-0602-0"
"38133826","Metataxonomy of acid mine drainage microbiomes from the Santa Catarina Carboniferous Basin (Southern Brazil)","Odisi EJ, de Freitas RC, do Amaral DS, da Silva SB, da Silva MAC, de Oliveira Sant Ana W, de Souza Lima AO, Rörig LR.","Extremophiles. 2023 Dec 22;28(1):8. doi: 10.1007/s00792-023-01324-0.","Odisi EJ","Extremophiles","2023","2023/12/22","","","10.1007/s00792-023-01324-0"
"38035483","Photosynthesis, ionomics and metabolomics of the host-hemiparasite association Acacia gerrardii-Viscum schimperi","Barhoumi Z.","Funct Plant Biol. 2024 Jan;51(1):NULL. doi: 10.1071/FP23206.","Barhoumi Z","Funct Plant Biol","2024","2023/11/30","","","10.1071/FP23206"
"33620581","Halo(natrono)archaea from hypersaline lakes can utilize sulfoxides other than DMSO as electron acceptors for anaerobic respiration","Sorokin DY, Roman P, Kolganova TV.","Extremophiles. 2021 Mar;25(2):173-180. doi: 10.1007/s00792-021-01219-y. Epub 2021 Feb 23.","Sorokin DY","Extremophiles","2021","2021/02/23","","","10.1007/s00792-021-01219-y"
